prediction,reference,f1,em,tokens_used,num_api_calls,error
St. John's College was an important contributor and co-sponsor of EnVISIONing Annapolis.,Important contributors and co-sponsors,0.25,0,2763,3,
1975,1975,1.0,1,3923,4,
Andrew Goth,Andrew Goth,1.0,1,2317,3,
Gordie Tapp,"banjo player and former member of the television variety show ""Hee Haw"" gang having played the role of Ida Lee Nagger, the ironing, nagging wife of Laverne Nagger (Gordie Tapp).",0.125,0,6422,4,
Hyde United F.C.,Hyde United Football Club,0.5714285714285715,0,2163,3,
2005,"March 3, 2005",0.5,0,8068,6,
,rock,0.0,0,0,0,APITimeoutError: Request timed out.
40,40 years,0.6666666666666666,0,2450,3,
Royal Irish Regiment,Royal Irish Regiment,1.0,1,5578,5,
Greta Garbo,Greta Garbo,1.0,1,3859,4,
Arto Tunçboyacıyan,Arto Tunçboyacıyan,1.0,1,2572,3,
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,1.0,1,2752,3,
Enterprise Rent-A-Car,Enterprise Rent-A-Car,1.0,1,4700,5,
Ethanol,Ethanol,1.0,1,2371,3,
Kansas City Chiefs,2016 Kansas City Chiefs season,0.7499999999999999,0,3050,3,
Burchardia,Burchardia,1.0,1,2425,3,
Game shows,game shows,1.0,1,2388,3,
World War II,World War II,1.0,1,2228,3,
the Americans,Americans,0.6666666666666666,0,4209,4,
Sri Lanka,Sri Lanka,1.0,1,2381,3,
"March 1, 2017","March 1, 2017",1.0,1,3365,4,
Pearl Harbor,Pearl Harbor,1.0,1,3673,3,
"Atlanta, Georgia","Atlanta, Georgia",1.0,1,3140,4,
M.I.L.F. $,M.I.L.F. $,1.0,1,4433,4,
(RED),RED,1.0,1,3024,3,
Calvin Coolidge,John Calvin Coolidge Jr.,0.6666666666666666,0,4362,4,
13-18,13-18,1.0,1,2320,3,
,Molière,0.0,0,0,0,APITimeoutError: Request timed out.
1957,1957,1.0,1,2347,3,
Smriti Irani,Smriti Malhotra,0.5,0,3385,4,
Jessica Alba,Jessica Marie Alba,0.8,0,2164,3,
Ireland,Ireland,1.0,1,2693,3,
33 km,33 km,1.0,1,2395,3,
Board games,game,0.0,0,2312,3,
Kingdom of England,Kingdom of England,1.0,1,2599,3,
John le Carré,David John Moore Cornwell,0.28571428571428575,0,2673,3,
Plants,plants,1.0,1,2085,3,
Jason Statham,Jason Statham,1.0,1,3321,4,
Benny Andersson,Benny Andersson,1.0,1,2629,3,
2005,2005,1.0,1,3008,3,
Canada,Canada,1.0,1,2293,3,
Alan Sokal,Alan Sokal,1.0,1,3215,4,
general sejm,Sejm of the Polish–Lithuanian Commonwealth,0.28571428571428575,0,2962,3,
Na Do-hyang,Na Do-hyang,1.0,1,2697,3,
United States,United States,1.0,1,2148,3,
John Ritter,John Ritter,1.0,1,2429,3,
Oglala Lakota,"American Horse (Oglala Lakota: ""Wašíčuŋ Tȟašúŋke"" in Standard Lakota Orthography) (a/k/a ""American Horse the Elder"") (1830–September 9, 1876) was an Oglala Lakota warrior chief renowned for Spartan courage and honor.",0.125,0,2233,3,
China,People's Republic of China,0.4,0,1959,3,
Wayne State University,"Founded in 1868, WSU consists of 13 schools and colleges offering nearly 350 programs to more than 27,000 graduate and undergraduate students",0.0,0,2502,3,
film director,film director,1.0,1,2282,3,
Philip Terzian,Philip Henry Terzian,0.8,0,2471,3,
Manchester United,Saint-Étienne,0.0,0,4694,3,
Christopher Paolini,Christopher Paolini,1.0,1,2657,3,
Professor Emeritus,Professor Emeritus,1.0,1,3467,4,
(Till) I Kissed You,'Till) I Kissed You,1.0,1,3536,3,
9 January 2011,9 January 2011,1.0,1,2589,3,
Johnny English Reborn,Johnny English Reborn,1.0,1,2565,3,
Smoothie King Center,Smoothie King Center,1.0,1,4035,4,
2005 and 2007,"2005, 2007",0.8,0,3725,3,
,Between Shades of Gray,0.0,0,0,0,APITimeoutError: Request timed out.
2003,2003,1.0,1,2402,3,
SBS,SBS,1.0,1,3658,4,
documentary films,film,0.0,0,3044,4,
World War II,World War II,1.0,1,2347,3,
Singer,singer,1.0,1,2498,3,
Rapture,Rapture,1.0,1,7345,5,
poet,poet,1.0,1,2264,3,
Blanck Mass,Blanck Mass,1.0,1,2025,3,
Lee Hong-gi,Lee Hong-gi,1.0,1,4067,4,
Hamilton,Hamilton,1.0,1,2204,3,
Julius Caesar,"Shakespeare's play ""Julius Caesar""",0.6666666666666666,0,2141,3,
"M.S. Dhoni: The Untold Story, Baaghi 2, and Loafer",Hindi and Telugu films,0.15384615384615383,0,5272,4,
British Cunard Line,British Cunard Line,1.0,1,3789,3,
John Randle,John Anthony Randle,0.8,0,2611,3,
Ron Kovic,"Ronald Lawrence ""Ron"" Kovic",0.6666666666666666,0,2647,3,
Jay,Jay,1.0,1,2114,3,
United States,United States,1.0,1,2680,3,
Netherlands,Netherlands,1.0,1,2512,3,
"May 11, 1894","May 11, 1894",1.0,1,2148,3,
"October 28, 2016","October 28, 2016",1.0,1,2367,3,
"University of California, Berkeley","University of California, Berkeley",1.0,1,2225,3,
"September 23, 1991","September 23, 1991",1.0,1,3527,4,
Gregg Berhalter,Gregg Berhalter,1.0,1,2398,3,
Xinzhou,Xinzhou () is a prefecture-level city,0.33333333333333337,0,2219,3,
North Somercotes,North Somercotes,1.0,1,2400,3,
BNSF Railway,BNSF,0.6666666666666666,0,2409,3,
Scott Speedman portrays the character Michael Corvin in the Underworld film series.,Underworld,0.15384615384615385,0,3548,3,
Domesday Book,Domesday Book,1.0,1,2722,3,
United Kingdom,UK,0.0,0,2228,3,
,"more than 150 works, including five symphonies and eight operas.",0.0,0,0,0,APITimeoutError: Request timed out.
Apple A4,Apple A4,1.0,1,4092,4,
Documentary,documentary,1.0,1,2284,3,
No,no,1.0,1,2537,3,
Township,cities,0.0,0,3286,3,
National Basketball Association,National Basketball Association (NBA),0.8571428571428571,0,2600,3,
English,English,1.0,1,3939,4,
Zimbabwe,Zimbabwe,1.0,1,2603,3,
Dark Horse,Dark Horse,1.0,1,2767,3,
documentary film,documentary,0.6666666666666666,0,2415,3,
1843,1843,1.0,1,3139,4,
"The Hague, Netherlands","It is located in The Hague, Netherlands, and was established to support the Permanent Court of Justice",0.3,0,2048,3,
glam rock band,English glam rock band,0.8571428571428571,0,4071,4,
"""If My Friends Could See Me Now""",If My Friends Could See Me Now,1.0,1,4306,4,
Stardust Resort and Casino,Stardust Resort and Casino,1.0,1,3066,4,
George Gipp,George Gipp,1.0,1,2523,3,
Clint Eastwood,Clint Eastwood,1.0,1,4311,3,
"April 2, 2011","April 2, 2011",1.0,1,2248,3,
Deep house,Deep house,1.0,1,2662,3,
plant,plants,0.0,0,3044,3,
Benares gharana,Benares gharānā,0.5,0,2285,3,
Grand Old Party,Grand Old Party,1.0,1,2382,3,
He was named Pakistan's ODI Captain.,He took up the Test captaincy,0.16666666666666666,0,2600,3,
30 June to 22 July 2007,30 June to 22 July 2007,1.0,1,2614,3,
mallow family,mallow,0.6666666666666666,0,2421,3,
Nevada,Nevada,1.0,1,2505,3,
American Hairless Terrier,American Hairless Terrier,1.0,1,2954,3,
Istanbul,"Istanbul, Turkey",0.6666666666666666,0,2478,3,
The Borrowers,The Borrowers,1.0,1,3793,4,
Alfred Brendel,Alfred Brendel,1.0,1,3255,4,
"Félix du Temple de la Croix developed some of the first flying machines and is credited with the first successful flight of a powered aircraft (a model plane) in 1857, as well as potentially the first manned powered flight in 1874.",aircraft of any sort,0.08888888888888888,0,2375,3,
Vincenzo Natali,Vincenzo Natali,1.0,1,2428,3,
League Two,League Two,1.0,1,2510,3,
Run-DMC,Run-D.M.C.,1.0,1,6894,5,
Australian 1974 World Cup squad,1974 World Cup squad,0.888888888888889,0,2502,3,
Michael Stipe,Michael Stipe,1.0,1,2764,3,
Morten Lauridsen,Morten Lauridsen,1.0,1,3956,4,
Denver Broncos,Denver Broncos,1.0,1,3294,4,
Yes,yes,1.0,1,2414,3,
Shia LaBeouf,Shia LaBeouf,1.0,1,3848,4,
"November 20, 1963","November 20, 1963",1.0,1,2374,3,
R2Bees,R2Bees,1.0,1,3866,4,
Female,Ladies,0.0,0,2274,3,
,New Jersey,0.0,0,0,0,APITimeoutError: Request timed out.
"January 20, 2016","January 20, 2016",1.0,1,2242,3,
TVB television,TVB television,1.0,1,2427,3,
the Devil's Broom fire,the Devil's Broom fire,1.0,1,2443,3,
Remington,Remington,1.0,1,3246,4,
Johnson & Johnson,Johnson & Johnson,1.0,1,2566,3,
Robin Pingeton,Robin Pingeton,1.0,1,4305,4,
Bob Iger,Bob Iger,1.0,1,4013,4,
Yes,no,0.0,0,3030,4,
Villa Riachuelo,Villa Riachuelo,1.0,1,3532,4,
Suran,Shin Su-ran,0.6666666666666666,0,3265,4,
Jet,Jet,1.0,1,2905,3,
China,People's Republic of China,0.4,0,2025,3,
ESPN,ESPN,1.0,1,3426,4,
2011,2011,1.0,1,2480,3,
Lewis's,Lewis's,1.0,1,7196,4,
Flinders Street railway station,Flinders Street railway station,1.0,1,2778,3,
Ottis Toole,Ottis Toole,1.0,1,2458,3,
Dog,dog,1.0,1,2318,3,
Experience point,experience point,1.0,1,3000,3,
Mildred J. Hill,Mildred J. Hill,1.0,1,2395,3,
Tennis,tennis,1.0,1,2557,3,
Ravi Udyawar,Ravi Udyawar,1.0,1,5197,4,
Dave Foley,Dave Foley,1.0,1,3457,4,
traditionalist root sounds and outlaw country,"traditionalist root sounds (similar to neotraditional country) with the outspoken, care-free views of outlaw country",0.47619047619047616,0,3564,4,
Felix Dennis,Felix Dennis,1.0,1,2616,3,
ABC,ABC,1.0,1,2283,3,
"Texas Monthly is a monthly magazine headquartered in Austin, Texas, that chronicles life in contemporary Texas, covering topics such as politics, the environment, and leisure. It was founded in 1973 and is still in publication. Lucky was a fashion and lifestyle magazine founded in 2000 under Condé Nast that ceased publication in June 2015.",first published in 2000,0.06896551724137931,0,3486,4,
dog,dog,1.0,1,2290,3,
1983 Summer Universiade,1983 Summer Universiade,1.0,1,2752,3,
Erik Paulsen,Erik Paulsen,1.0,1,4004,4,
Grace Kelly,Grace Kelly,1.0,1,2505,3,
The Magic Roundabout,The Magic Roundabout,1.0,1,3975,4,
Taki's Magazine,Taki's Magazine,1.0,1,2678,3,
Galadriel,Galadriel,1.0,1,2185,3,
Elisabeth Hauptmann,Elisabeth Hauptmann,1.0,1,3854,3,
Operation Paperclip,Operation Paperclip,1.0,1,2195,3,
"Philadelphia Phillies, Seattle Mariners, St. Louis Cardinals, Cleveland Indians, San Francisco Giants, and Milwaukee Brewers",Indians,0.125,0,3601,3,
Vicki Leekx,Vicki Leekx,1.0,1,2620,3,
1967 Atlantic hurricane season,1967 Atlantic hurricane season,1.0,1,4119,4,
Film director,film director,1.0,1,3295,4,
Yes,yes,1.0,1,2307,3,
1995,1995,1.0,1,2337,3,
Toyota Century,Toyota Century,1.0,1,4196,4,
Spain,Spain,1.0,1,2248,3,
Chinese personal names,Chinese name,0.4,0,2462,3,
"Franklin Square, New York",Garden City South,0.0,0,2116,3,
Margaret Mitchell,A. E. W. Mason,0.0,0,2445,3,
Jean Terrell,Jean Terrell,1.0,1,2691,3,
The Stranger,L’Étranger,0.0,0,3765,4,
Chicago Outfit,Chicago Outfit,1.0,1,2480,3,
Kriss Akabusi,Kriss Akabusi,1.0,1,3057,4,
China,China,1.0,1,2300,3,
Writer,writer,1.0,1,2271,3,
Game,game,1.0,1,2669,3,
"Debussy's ""Sarabande"" and ""Danse""",Debussy,0.0,0,2982,3,
Marvel Comics,Marvel Comics,1.0,1,2715,3,
23 May 1990,23 May 1990,1.0,1,2882,3,
Richard Li,Richard Li,1.0,1,3104,4,
Mark Bickley,Mark Bickley,1.0,1,3503,4,
Iowa State University,Iowa State University,1.0,1,3312,4,
8 January 871,8 January 871,1.0,1,2171,3,
They were both composers.,composer,0.0,0,3436,3,
"To be, or not to be",Hamlet's,0.0,0,3401,4,
Saturday Night Live,Saturday Night Live,1.0,1,3890,4,
All-Star Comedy Jam Tour,All-Star Comedy Jam Tour,1.0,1,5146,3,
1898,1898,1.0,1,2647,3,
Defensive coordinator,defensive coordinator,1.0,1,4578,4,
American,American,1.0,1,2439,3,
Hubert H. Humphrey Metrodome,Hubert H. Humphrey Metrodome,1.0,1,2577,3,
Mayor Quimby,Mayor Quimby,1.0,1,4627,4,
The Dressmaker,The Dressmaker,1.0,1,3841,4,
Osho,Rajneesh,0.0,0,3921,4,
KPMG,KPMG,1.0,1,2333,3,
Comanche people,Comanche,0.6666666666666666,0,2604,3,
Lord Voldemort,Lord Voldemort,1.0,1,2427,3,
Gold Coast,Gold Coast,1.0,1,2950,3,
Walt Disney Pictures,Walt Disney Animation Studios,0.5714285714285715,0,3353,3,
,television,0.0,0,0,0,APITimeoutError: Request timed out.
United States,United States,1.0,1,2281,3,
Mountain goat,white goat,0.5,0,3729,4,
1983,1983,1.0,1,2573,3,
Yu-Gi-Oh! Trading Card Game,Yu-Gi-Oh,0.4,0,2970,3,
Bangladesh,Bangladesh,1.0,1,3021,3,
1931,1931,1.0,1,2136,3,
Casey Affleck,Caleb Casey McGuire Affleck-Boldt,0.3333333333333333,0,3320,3,
William Corlett,William Corlett,1.0,1,2532,3,
William H. Macy,was written by William H. Macy,0.6666666666666666,0,2343,3,
"August 30, 2003","August 30, 2003",1.0,1,2402,3,
Yes,yes,1.0,1,2841,3,
Russell T Davies,Russell T Davies,1.0,1,2463,3,
pressurize a water supply system for the distribution of potable water and provide emergency storage for fire protection,"the distribution of potable water, and to provide emergency storage for fire protection",0.7741935483870968,0,6456,5,
EuropaCorp,motion picture company,0.0,0,3121,3,
Ernst Röhm,Ernst Julius Günther Röhm,0.6666666666666666,0,3832,4,
Elise Stefanik,Republican Elise Stefanik,0.8,0,2180,3,
South Coast,South Coast,1.0,1,2732,3,
2000,2000,1.0,1,3470,4,
Glamour,Glamour,1.0,1,2275,3,
Alden Ehrenreich,Alden Ehrenreich,1.0,1,3985,4,
2007,2007,1.0,1,2239,3,
"January 1, 1972","January 1, 1972",1.0,1,3007,4,
United States,United States,1.0,1,2407,3,
Brasstown Bald,Brasstown Bald,1.0,1,2660,3,
National Alliance,National Alliance,1.0,1,3467,4,
1994,1994,1.0,1,2480,3,
Mike Leach,Michael Charles Leach,0.4,0,2649,3,
They are both used for hunting.,used for hunting,0.6666666666666666,0,3217,3,
Yes,The 2017 Macanese general election took place on 17 September 2017 according to the provisions of the Basic Law of Macau.,0.0,0,2314,3,
Dieppe Raid,Dieppe Raid,1.0,1,2657,3,
"It revolves around two trolls on a quest to save their village from destruction by the Bergens, creatures who eat trolls.","two trolls on a quest to save their village from destruction by the Bergens, creatures who eat trolls.",0.923076923076923,0,2830,3,
"December 9, 1985 and December 10, 1985","December 9, 1985",0.6,0,4518,3,
Tower of London,Tower of London,1.0,1,2766,3,
Adult Swim,Adult Swim,1.0,1,2424,3,
American,American,1.0,1,2295,3,
Tennis player,tennis professional,0.5,0,2191,3,
Yes,no,0.0,0,4053,3,
Shrii Shrii Ánandamúrti,Shrii Shrii Ánandamúrti,1.0,1,3428,4,
Ben Affleck,Ben Affleck,1.0,1,2715,3,
film director,film director,1.0,1,3176,4,
Russell Crowe,Russell Crowe,1.0,1,3741,4,
In the Name of the Father,In the Name of the Father,1.0,1,3538,4,
InBev,InBev,1.0,1,3149,3,
Western Roman Empire,Western Roman Empire,1.0,1,3514,4,
"Islam, Hinduism, Sikhism, Judaism, and Buddhism","Islam, Hinduism, Sikhism, Judaism and Buddhism",1.0,1,2294,3,
Chinese Journal of Physics,Chinese Journal of Physics,1.0,1,3939,4,
,United States,0.0,0,0,0,APITimeoutError: Request timed out.
"The iBook was the first mass consumer product to offer Wi-Fi network connectivity, which was branded by Apple as AirPort.",Apple,0.09523809523809523,0,3259,4,
Georgia O'Keeffe,Georgia Totto O'Keeffe,0.8,0,2782,3,
They are both film directors.,film director.,0.28571428571428575,0,6402,4,
1959,1959,1.0,1,2199,3,
Yes,yes,1.0,1,2487,3,
William P. Young,William P. Young,1.0,1,3476,4,
They are both public airports.,public,0.33333333333333337,0,3725,3,
David Ignatow,David Ignatow,1.0,1,2265,3,
Cha Tae-hyun,Cha Tae-hyun,1.0,1,3384,4,
"Washington, D.C.","Washington, D.C.",1.0,1,2319,3,
Nas,Nas,1.0,1,2293,3,
South Africa,South Africa,1.0,1,2342,3,
Roy Spencer,Roy Spencer,1.0,1,3543,3,
Caleb Shomo,Caleb Joshua Shomo,0.8,0,4706,4,
Mickey Arthur,coached by Mickey Arthur,0.6666666666666666,0,2247,3,
Comedy Central,"Comedy Central named him #83 on the five-part miniseries ""100 Greatest Stand-ups of All Time"" .",0.23529411764705882,0,2236,3,
Brad Pitt,Brad Pitt,1.0,1,3317,4,
Pitcher,pitcher,1.0,1,2315,3,
,no,0.0,0,0,0,APITimeoutError: Request timed out.
United States,American,0.0,0,2496,3,
British Army,the British Army,0.8,0,2236,3,
Rochdale A.F.C.,Rochdale Association Football Club,0.3333333333333333,0,2603,3,
2007,2007,1.0,1,2396,3,
magazine,magazine,1.0,1,2521,3,
Elizabeth Olsen,Elizabeth Olsen,1.0,1,5282,4,
Anti,Anti,1.0,1,3500,4,
Bindy Johal,Bindy Johal,1.0,1,3344,4,
One,one estate,0.6666666666666666,0,2124,3,
Marine Corps Air Station Yuma,Marine Corps Air Station Yuma,1.0,1,2373,3,
"2,902,400","Total space, 2,902,400 square meters",0.33333333333333337,0,3317,3,
A Charlie Brown Christmas,A Charlie Brown Christmas,1.0,1,6235,5,
St. Louis,independent city,0.0,0,2788,3,
360° Vision,QueerTelevision,0.0,0,5289,4,
Disney's Animal Kingdom,Disney's Animal Kingdom in the Walt Disney World Resort.,0.5,0,2418,3,
Derry,Derry,1.0,1,2157,3,
Tennis player,tennis player,1.0,1,2335,3,
Gillette,Gillette,1.0,1,2348,3,
Philip Seymour Hoffman,Philip Seymour Hoffman,1.0,1,3231,3,
Paradise,Paradise,1.0,1,2237,3,
5 April 1955,5 April 1955,1.0,1,3562,4,
Laveen,"Laveen, Arizona",0.6666666666666666,0,5164,4,
Music,musician,0.0,0,2226,3,
"November 12, 2010","November 12, 2010",1.0,1,2352,3,
swimmer,swimmer,1.0,1,2452,3,
Marloes Coenen,Marloes Coenen,1.0,1,3175,4,
South Korea,South Korean,0.5,0,4337,4,
1999,1999,1.0,1,2708,3,
Queen of Iceland,Queen of Iceland,1.0,1,2533,3,
"Tokyo, Japan",based in New York City,0.0,0,3610,3,
Tennis players,professional tennis player,0.4,0,3417,3,
United States,United States,1.0,1,2384,3,
"Meena Rana is a famous Uttarakhandi singer who has sung many Garhwali and Kumaoni music albums. She is considered one of the best female singers of Uttarakhand and is often referred to as the ""Lata Mangeshkar"" of Uttarakhand.",famous Uttarakhandi singer,0.14634146341463414,0,2226,3,
New Jersey State Police Museum,New Jersey State Police Museum,1.0,1,2398,3,
Professor Charles Xavier,Professor Charles Xavier,1.0,1,2443,3,
Samuel Alito,Samuel Anthony Alito Jr.,0.6666666666666666,0,3766,4,
,United States Supreme Court,0.0,0,0,0,APITimeoutError: Request timed out.
Yes,yes,1.0,1,2473,3,
2004,2004,1.0,1,2107,3,
American politician,American politician,1.0,1,2086,3,
1668,1668,1.0,1,3430,4,
Gamecocks,cock of the game,0.0,0,4430,4,
England and Australia,England and Australia,1.0,1,4589,3,
As You Like It,As You Like It,1.0,1,3596,4,
Coal Creek War,Coal Creek War,1.0,1,2583,3,
energy drink,energy drink,1.0,1,2104,3,
2005,2005,1.0,1,2321,3,
Kurt Russell,Kurt Russell,1.0,1,2294,3,
Dahlonega,Dahlonega,1.0,1,2476,3,
Southern Baptist Convention,The Ethics & Religious Liberty Commission,0.0,0,2479,3,
physicist and astronaut,physicist and astronaut,1.0,1,2229,3,
Richard 'Darkie' Hutton,Envoy Richard 'Darkie’ Hutton,0.8571428571428571,0,3680,3,
State of Georgia,the State of Georgia as part of the Georgia World Congress Center Authority,0.375,0,3071,4,
two,two,1.0,1,2511,3,
Rob Quist,Robert Ernest Quist,0.4,0,3861,4,
Austria-Hungary,born in Austria-Hungary,0.5,0,2323,3,
"January 19, 1954","born January 19, 1954",0.8571428571428571,0,2750,3,
Battle of the Little Bighorn,Battle of the Little Bighorn,1.0,1,3124,3,
Film director,film director,1.0,1,2318,3,
Falkland Islands Dependencies Survey,FIDS,0.0,0,2698,3,
Vladislav Galkin,Vladislav Galkin,1.0,1,3654,4,
Gábor Király,Gábor Ferenc Király,0.8,0,3610,3,
Celtic,Celtic tribe,0.6666666666666666,0,3695,4,
Mark Thompson,Mark John Thompson,0.8,0,2459,3,
"September 1, 2017","It was released on September 1, 2017 on Vital Records.",0.4615384615384615,0,4004,4,
"""Sexy Boy""",Sexy Boy,1.0,1,5395,5,
Author,novelist,0.0,0,3492,4,
Commack,Commack,1.0,1,5981,4,
King of New York,King of New York,1.0,1,2679,3,
The Patty Duke Show,"""The Patty Duke Show""",1.0,1,2224,3,
Rock,rock,1.0,1,6439,4,
Parliamentary privilege,the doctrine of Parliamentary privilege,0.5714285714285715,0,4607,4,
Sophia Amoruso,Sophia Christina Amoruso,0.8,0,3355,4,
SportAccord World Mind Games,SportAccord World Mind Games,1.0,1,3650,4,
1984,1984,1.0,1,2614,3,
Mitch Rapp,Mitch Rapp,1.0,1,2921,3,
Herbalife,Herbalife,1.0,1,3343,4,
Cartoon Network,Cartoon Network,1.0,1,2499,3,
,Cinderella,0.0,0,0,0,APITimeoutError: Request timed out.
Trivor,Trivor,1.0,1,2915,3,
