prediction,reference,f1,em,tokens_used,num_api_calls,error
Chlorophyll a,Chlorophyll,0.6666666666666666,0,5912,5,
1786,1786,1.0,1,2433,3,
C. V. Raman,Sir C. V. Raman,0.8571428571428571,0,2626,3,
Owen Wilson,Owen Wilson,1.0,1,2704,3,
Dominic Thiem,Dominic Thiem,1.0,1,2903,3,
Canadian Football League,Canadian Football League,1.0,1,3351,4,
8,eight,0.0,0,3287,4,
Orlando,Orlando,1.0,1,3223,4,
Chien-gris,Chien-gris,1.0,1,2369,3,
Octopus card,Octopus card,1.0,1,2407,3,
Lest we forget,"""Lest we forget""",1.0,1,3217,4,
Disturbed,Disturbed,1.0,1,3730,4,
1952,1952,1.0,1,3110,4,
Bath,Bath,1.0,1,3164,4,
Enemy of the State,Enemy of the State,1.0,1,2736,3,
University of Toronto,The University of Toronto,0.8571428571428571,0,3683,4,
Doom,Doom,1.0,1,5212,5,
Glassroth v. Moore,Glassroth v. Moore,1.0,1,3497,4,
Memphis,Memphis,1.0,1,2519,3,
attacking midfielder,attacking midfielder,1.0,1,3222,4,
1892,1892,1.0,1,3242,4,
DreamWorks Animation,DreamWorks Animation,1.0,1,3533,4,
Ward Estate,Ward Estate,1.0,1,3522,4,
"Washington, D.C.","Washington, D.C.",1.0,1,3670,4,
Rhapsody in Blue,Rhapsody in Blue,1.0,1,2666,3,
Yes,yes,1.0,1,2278,3,
John Carney,John Carney,1.0,1,3143,4,
21 Jump Street,21 Jump Street,1.0,1,3232,4,
FX,FX,1.0,1,3417,4,
Domenico Dolce and Stefano Gabbana,Domenico Dolce and Stefano Gabbana.,1.0,1,2312,3,
Syco Music and Columbia Records,Syco Music and Columbia Records,1.0,1,4133,4,
1911,1911,1.0,1,3602,4,
"Granby, Colorado","Granby, Colorado",1.0,1,3863,3,
Niagara County,Niagara County,1.0,1,2051,3,
Evanston,"Evanston, Illinois",0.6666666666666666,0,3002,4,
Modern Drummer,Modern Drummer,1.0,1,2913,3,
Tuppence Middleton,Tuppence Middleton,1.0,1,2668,3,
,band,0.0,0,0,0,APITimeoutError: Request timed out.
Trevor Knight,Trevor Knight,1.0,1,2514,3,
Brazil,Brazil,1.0,1,3421,4,
Matthew Kelly,Matthew Kelly,1.0,1,3369,4,
Hey Monday,Hey Monday,1.0,1,2576,3,
1999,1999,1.0,1,3259,4,
Slovenia,Slovenia,1.0,1,3251,3,
10 August 1296,10 August 1296,1.0,1,2787,3,
Yes,yes,1.0,1,2280,3,
,Ottokar Kernstock,0.0,0,0,0,APITimeoutError: Request timed out.
Lincoln Barrett,Lincoln Barrett,1.0,1,3534,4,
Square Enix,Square Enix,1.0,1,4094,4,
"167,446","167,446",1.0,1,3230,4,
Drink,drink,1.0,1,2524,3,
Yes,yes,1.0,1,2331,3,
Donald Trump,Donald Trump,1.0,1,3879,4,
Cornershop,Wiiija,0.0,0,6117,3,
Judson,Judson,1.0,1,3642,4,
Tyndall Air Force Base,Tyndall Air Force Base,1.0,1,4317,4,
Zales,Zale Corporation,0.0,0,3410,4,
1982,1982,1.0,1,3384,4,
Tommy Morrison,Tommy Morrison,1.0,1,2439,3,
Armin van Buuren,Armin van Buuren,1.0,1,2452,3,
The Second City,Second City Theatre,0.6666666666666666,0,3375,4,
Pune,Pune,1.0,1,3102,4,
David Usher,David Usher,1.0,1,2330,3,
Quinceañera,Quinceañera,1.0,1,3267,4,
Andrew Bird,Andrew Bird,1.0,1,7351,4,
Tennis,tennis,1.0,1,2352,3,
New Orleans Saints,New Orleans Saints,1.0,1,4478,4,
Laura Kirk,Laura Ellen Kirk,0.8,0,4504,5,
German Football Association,The DFB Sports Court,0.0,0,2316,3,
"Atlanta, Georgia","Atlanta, Georgia",1.0,1,3176,4,
Beyond the Gates of Splendor,Beyond the Gates of Splendor,1.0,1,2297,3,
440,440,1.0,1,2379,3,
Hector on Stilts,Hector on Stilts,1.0,1,4589,4,
Democrat,Democrat,1.0,1,3578,4,
A Long Way Home,"""A Long Way Home""",1.0,1,3211,4,
eastern North America,eastern North America,1.0,1,3955,4,
United States,American,0.0,0,2657,3,
Brandon Tartikoff,Brandon Tartikoff,1.0,1,3483,4,
"Yarmouth, Maine","Yarmouth, Maine",1.0,1,3476,4,
No,no,1.0,1,2268,3,
"7,585","7,585",1.0,1,3320,4,
"Sweden, Finland, Norway, and Denmark","Sweden, Finland, and Norway",0.888888888888889,0,3581,4,
Affirmative action,Affirmative action,1.0,1,2452,3,
La Fea Mas Bella,La Fea Mas Bella,1.0,1,3303,4,
No,no,1.0,1,2300,3,
No,no,1.0,1,2320,3,
Catherine Deneuve,Catherine Deneuve,1.0,1,3136,4,
Desiderata,Desiderata,1.0,1,2408,3,
flowering plants,flowering plants,1.0,1,2309,3,
$1.7 billion,$1.7 billion,1.0,1,2180,3,
,And There's More,0.0,0,0,0,APITimeoutError: Request timed out.
Royal Opera House,The Royal Opera House,0.8571428571428571,0,2710,3,
Teeth,Teeth,1.0,1,2333,3,
Wichita City Carnegie Library Building,Wichita City Carnegie Library Building,1.0,1,2556,3,
William T. Anderson,William T. Anderson,1.0,1,2187,3,
Liverpool F.C.,Liverpool Football Club,0.4,0,3283,4,
film director,film director,1.0,1,2204,3,
22 June 1944,22 June 1944,1.0,1,3256,4,
10,ten weeks,0.0,0,2605,3,
Pride Divide,Pride Divide,1.0,1,2265,3,
Ridley Scott,Ridley Scott,1.0,1,3342,4,
Second,second,1.0,1,4198,4,
Martin Heidegger,Martin Heidegger,1.0,1,2336,3,
No,no,1.0,1,2261,3,
Fir,Firs,0.0,0,2308,3,
Ice King,Ice King,1.0,1,3094,3,
1950,1950,1.0,1,3465,4,
Carlsberg Laboratory,Carlsberg Laboratory,1.0,1,2664,3,
American,American,1.0,1,3134,4,
Mercedes-Benz,Smart,0.0,0,2126,3,
Deadpool 2,Deadpool 2,1.0,1,2390,3,
South Park,South Park,1.0,1,5104,4,
A. J. McClung Memorial Stadium,J. McClung Memorial Stadium,0.888888888888889,0,4521,5,
No,no,1.0,1,2370,3,
Javier Sotomayor,Javier Sotomayor,1.0,1,2438,3,
Alex Cox,"Alexander ""Alex"" Cox",0.8,0,2233,3,
4,four,0.0,0,3370,4,
Elizabeth Smylie,Elizabeth Smylie,1.0,1,2442,3,
"39,134","39,134",1.0,1,3140,4,
1928,1928,1.0,1,4966,5,
William Grant Still,William Grant Still,1.0,1,3721,4,
Filmmaker,director,0.0,0,3468,3,
Pro Wrestling Zero1,Pro Wrestling Fujiwara Group,0.5714285714285715,0,6123,4,
Ngangkiparri,Ngangkiparri,1.0,1,3184,4,
The Awakening,The Awakening,1.0,1,3947,4,
Yes,yes,1.0,1,2313,3,
Cleveland Browns,Cleveland Browns,1.0,1,2210,3,
Francesco Baracca,Count Francesco Baracca,0.8,0,2304,3,
Southern Baptist Theological Seminary,Southern Baptist Theological Seminary,1.0,1,4093,4,
Wadia Group,Wadia Group,1.0,1,3387,4,
October 2001,October 2001,1.0,1,3342,4,
listed buildings,Joseph Groome Towers,0.0,0,5132,4,
Camp Chapman attack,Camp Chapman attack,1.0,1,2432,3,
Vladislav Lantratov,Vladislav Lantratov,1.0,1,3772,4,
1626,1626,1.0,1,3786,4,
5,five,0.0,0,2702,3,
Microsoft Studios,Microsoft Studios,1.0,1,3262,4,
Ulster,Ulster,1.0,1,3027,3,
Rosemary Sutcliff,Rosemary Sutcliff,1.0,1,6155,4,
The Usual Suspects,The Usual Suspects,1.0,1,3218,4,
1995,1995,1.0,1,2244,3,
Caltech,Caltech,1.0,1,3266,4,
U.S. Route 51,U.S. Route 51,1.0,1,3510,4,
51 Birch Street,51 Birch Street,1.0,1,2246,3,
1967,1967,1.0,1,3725,4,
Harry Doyle,Harry Doyle,1.0,1,2655,3,
documentary,documentary,1.0,1,2437,3,
Béla Bartók,Béla Viktor János Bartók,0.6666666666666666,0,2268,3,
Tony Rice,Tony Rice,1.0,1,2415,3,
2001,2001,1.0,1,5076,4,
Sidney Hall,Sidney Hall,1.0,1,3983,4,
The London Connection,The London Connection,1.0,1,2453,3,
American-Canadian,American-Canadian,1.0,1,3726,4,
Charleston,Charleston,1.0,1,2932,4,
California,California,1.0,1,2084,3,
China,China,1.0,1,2211,3,
Micromeria,Micromeria,1.0,1,2274,3,
No,no,1.0,1,2315,3,
The New York Times,The New York Times,1.0,1,3327,4,
"1,200","1,200",1.0,1,3576,4,
2006,2006,1.0,1,2188,3,
Belgrade,Belgrade,1.0,1,3090,4,
1989,1989,1.0,1,3633,4,
United States Department of Health and Human Services,the United States Department of Health and Human Services,0.9411764705882353,0,3093,4,
Pan-Africanism,Pan-Africanism,1.0,1,3427,4,
"May 16, 1947","May 16, 1947",1.0,1,3237,4,
The IT Crowd,"""The IT Crowd""",1.0,1,3387,4,
Bella,Bella,1.0,1,2165,3,
Rock,Rock,1.0,1,8914,5,
Tina Turner,Tina Turner,1.0,1,3603,4,
Yes,yes,1.0,1,2310,3,
Oleg Menshikov,Oleg Menshikov,1.0,1,3391,4,
18 March 1985,18 March 1985,1.0,1,6254,4,
Requiem in White,Requiem in White,1.0,1,3607,4,
1879,1879,1.0,1,3000,4,
"Irvine, California","Irvine, California",1.0,1,2623,3,
Sports Illustrated,Sports Illustrated,1.0,1,2276,3,
8,eight,0.0,0,2506,3,
Objectivists,Objectivist,0.0,0,5104,5,
Credit Union Christmas Pageant,Credit Union Christmas Pageant,1.0,1,3430,4,
Guy Ritchie,Guy Ritchie,1.0,1,2216,3,
Football,football,1.0,1,3286,4,
The Inbetweeners Movie,The Inbetweeners 2,0.6666666666666666,0,2384,3,
Edward Burne-Jones,Edward Burne-Jones,1.0,1,2320,3,
Austrian,Austrian,1.0,1,3641,4,
Big 12 Conference,the Big 12 Conference,0.8571428571428571,0,5224,4,
1664,1664,1.0,1,3367,4,
Loretta Lynn,Loretta Lynn,1.0,1,3389,4,
1991,1991,1.0,1,3051,4,
Yes,yes,1.0,1,2275,3,
Gary Sinise,Gary Sinise,1.0,1,3638,4,
Renée Montagne and Steve Inskeep,Renée Montagne,0.5714285714285715,0,4767,4,
Lancashire League,Lancashire League,1.0,1,4317,4,
,"April 12, 2011",0.0,0,0,0,APITimeoutError: Request timed out.
Tom Sawyer,"Thomas ""Tom"" Sawyer",0.8,0,2538,3,
Northwest Angle,The Northwest Angle,0.8,0,3381,4,
22 July 2002,22 July 2002,1.0,1,3467,4,
2011,2011,1.0,1,3124,4,
Yes,yes,1.0,1,2433,3,
Unfabulous,Unfabulous,1.0,1,3820,4,
England,England,1.0,1,5177,4,
Springfield Elementary School,Springfield Elementary School,1.0,1,3306,4,
Tennis,tennis,1.0,1,2454,3,
Lucy Maud Montgomery,Lucy Maud Montgomery,1.0,1,2515,3,
Best Young Actor/Actress,Best Young Actor/Actress,1.0,1,3941,4,
Jorge Negrete,John Wayne,0.0,0,4203,4,
Lillibullero,Lillibullero,1.0,1,3219,4,
,Stephen Frears,0.0,0,0,0,APITimeoutError: Request timed out.
9.2 million,9.2 million,1.0,1,3174,4,
Rome,Rome,1.0,1,3539,4,
Mohan Veena,Mohan Veena (slide guitar),0.6666666666666666,0,3371,4,
Warrior King,"""Warrior King""",1.0,1,3662,4,
The Jungle Book,The Jungle Book,1.0,1,2449,3,
Oprah Winfrey,Oprah Winfrey,1.0,1,2531,3,
Battle of Liège and Battle of Tannenberg,Battle of Liège and the Battle of Tannenberg,0.9333333333333333,0,2446,3,
Stephen Devassy,Stephen Devassy,1.0,1,3356,4,
No,no,1.0,1,2285,3,
Bruce Weber,Bruce Weber,1.0,1,3367,4,
Scottish,Scottish,1.0,1,3351,4,
Yes,yes,1.0,1,2279,3,
Riccardo Cocchi,Riccardo Cocchi,1.0,1,2038,3,
1967,1967,1.0,1,3258,4,
Colorado Avalanche,Colorado Avalanche,1.0,1,3421,4,
Tsui Hark,Tsui Hark,1.0,1,3923,3,
Belgium,Belgium,1.0,1,3703,4,
The Day After,The Day After,1.0,1,2621,3,
No,no,1.0,1,2238,3,
1993,1993,1.0,1,5457,5,
Discovery Institute,Discovery Institute's Center for Science and Culture,0.22222222222222224,0,3036,4,
University of Texas,University of Texas,1.0,1,2568,3,
"October 22, 1992","October 22, 1992",1.0,1,3159,4,
Rashida Jones,Rashida Jones,1.0,1,10977,6,
1990s,1990s,1.0,1,3281,4,
Partington,Partington,1.0,1,2651,3,
Medici,Medici,1.0,1,2234,3,
Amherst College,Amherst College,1.0,1,2242,3,
American,American,1.0,1,3140,4,
David Cutcliffe,David Cutcliffe,1.0,1,2923,3,
Raees,Raees,1.0,1,3239,4,
Bruce Darnell,Bruce Darnell,1.0,1,4483,4,
South Korea,South Korea,1.0,1,2076,3,
"8,777","8,777",1.0,1,3326,4,
MTV VJ,MTV VJ,1.0,1,3750,4,
"2006, Brushfire Records",2006,0.5,0,7082,5,
Yes,yes,1.0,1,3034,4,
78.5 mi,78.5 mi,1.0,1,3208,4,
Northeast Regional,The Northeast Regional,0.8,0,2743,3,
Yakshagana artist,Yakshagana,0.6666666666666666,0,3323,4,
1871,1871,1.0,1,3377,4,
London,East Dulwich,0.0,0,4528,4,
raw sexuality,raw sexuality,1.0,1,3800,4,
Immanuel College,Immanuel College,1.0,1,3160,4,
"March 25, 1928","March 25, 1928",1.0,1,3367,4,
Apple TV,Apple TV,1.0,1,2287,3,
Jaeger Corps,Jaeger Corps,1.0,1,3231,4,
"Victor A. Vyssotsky, Robert Morris Sr., and M. Douglas McIlroy",Bell Labs,0.0,0,3941,4,
Denis Johnson,Denis Johnson,1.0,1,4510,5,
Tony Scott,Tony Scott,1.0,1,3438,4,
George V,George V,1.0,1,2399,3,
Western Division,Western Division,1.0,1,3363,4,
GamePro,GamePro,1.0,1,4081,4,
,his speed on the ball,0.0,0,0,0,APITimeoutError: Request timed out.
No,no,1.0,1,2494,3,
Edgewater,Edgewater,1.0,1,3109,4,
Lily Tomlin,"Mary Jean ""Lily"" Tomlin",0.6666666666666666,0,3359,4,
Hit Parader,Hit Parader,1.0,1,5323,5,
New York,New York,1.0,1,2176,3,
Yes,yes,1.0,1,2339,3,
Gregory Hines,Gregory Hines,1.0,1,2337,3,
Central Intelligence Agency (CIA),Central Intelligence Agency,0.8571428571428571,0,3603,4,
scoring goals,scoring goals,1.0,1,3000,4,
1957,1957,1.0,1,2173,3,
University of Washington,University of Washington,1.0,1,3435,4,
Yes,yes,1.0,1,2368,3,
Trouble Every Day,Trouble Every Day,1.0,1,8167,5,
David Jason,Sir David John White,0.3333333333333333,0,3319,4,
Sammy Wilson,Sammy Wilson,1.0,1,3428,4,
Torah and Talmudic scholar,Torah and Talmudic scholar,1.0,1,3711,4,
Sleeper Agent,Sleeper Agent,1.0,1,2139,3,
New Jersey,New Jersey,1.0,1,3108,4,
Denmark,Denmark,1.0,1,2085,3,
Dancing with the Stars,Dancing with the Stars,1.0,1,5558,4,
Luigi Einaudi,Luigi Einaudi,1.0,1,3034,4,
1986,1986,1.0,1,3107,4,
Yes,yes,1.0,1,2254,3,
Erik Paulsen,Erik Paulsen,1.0,1,5319,4,
Mount Panorama and Wahluu,Mount Panorama and Wahluu,1.0,1,3760,4,
The Funtastic World of Hanna-Barbera,The Funtastic World of Hanna-Barbera,1.0,1,3392,4,
Amanda Curtis,Amanda Curtis,1.0,1,3691,4,
Mick Woodmansey,Mick Woodmansey,1.0,1,3899,3,
Festivali i Këngës and Kënga Magjike,Kënga Magjike,0.5,0,3331,3,
1945,1945,1.0,1,3418,4,
Donovan,Donovan,1.0,1,2478,3,
John Luessenhop,John Luessenhop,1.0,1,3510,4,
Rollo,Rollo,1.0,1,3345,4,
American,American,1.0,1,2381,3,
Primera División,Primera División,1.0,1,3197,4,
Dan Castellaneta,Dan Castellaneta,1.0,1,3867,4,
Defence of Fort M'Henry,Defence of Fort M'Henry,1.0,1,3363,4,
Brazil,Brazil,1.0,1,3346,4,
John Flamsteed,John Flamsteed,1.0,1,5426,4,
,The Tarnished Eye,0.0,0,0,0,APITimeoutError: Request timed out.
