prediction,reference,f1,em,tokens_used,num_api_calls,error
Peter Chelsom,Peter Chelsom,1.0,1,6809,9,
Uniondale,"Uniondale, New York",0.5,0,5167,6,
"Acapulco, Guerrero, Mexico",Sinaloa,0.0,0,12839,11,
2003,2003,1.0,1,6460,9,
Odysseas Elytis,Odysseas Elytis,1.0,1,6300,9,
Argentine,Argentine,1.0,1,11328,7,
,Richard Ford,0.0,0,4321,6,Executor failed: APITimeoutError: Request timed out.
United States,United States,1.0,1,6830,9,
The Producers,The Producers,1.0,1,11001,11,
Saturday Night Live,Saturday Night Live,1.0,1,8725,10,
barnstormer,barnstormer,1.0,1,7154,9,
Saludos Amigos,Saludos Amigos,1.0,1,7787,9,
Chile,Chile,1.0,1,3733,5,
Institute of Muslim Minority Affairs,Institute of Muslim Minority Affairs,1.0,1,15561,16,
Graham Hess,Graham Hess,1.0,1,8026,10,
Mara Santangelo,Mara Santangelo,1.0,1,6229,9,
Martha Coolidge,Martha Coolidge,1.0,1,6270,9,
,Panzer,0.0,0,7263,6,Executor failed: APITimeoutError: Request timed out.
"6,960","6,960",1.0,1,6302,9,
"More than 1,600","more than 1,600",1.0,1,7521,9,
,state capital,0.0,0,5398,4,Planner call failed: APITimeoutError: Request timed out.
Bhagalpur,Bihar,0.0,0,7924,10,
Meadowbank Gold Mine,Meadowbank Gold Mine,1.0,1,12358,10,
Stuart period,Stuart period,1.0,1,9037,11,
,19 mi,0.0,0,37215,34,Maximum planner steps reached before final answer.
Don Henley,Donald Hugh Henley,0.4,0,3719,5,
Suffolk County,Suffolk County,1.0,1,3571,5,
Kamal Shalorus,Kamal Shalorus,1.0,1,6183,9,
Rockstar Games,Rockstar Games,1.0,1,8787,9,
Otto Stern,Otto Stern,1.0,1,18765,14,
H. Bruce Humberstone,"H. Bruce ""Lucky"" Humberstone",0.8571428571428571,0,6466,9,
No,no,1.0,1,6020,9,
Mary Ramsey,Mary Ramsey,1.0,1,6321,9,
1969,1969,1.0,1,6692,9,
R&B,R&B,1.0,1,9944,9,
Bayern Munich,Bayern Munich,1.0,1,6421,9,
22,22,1.0,1,6629,9,
PBS NewsHour,PBS NewsHour,1.0,1,6696,9,
1948,1948,1.0,1,6457,9,
275 years,275 years,1.0,1,9495,13,
M&T Bank Stadium,M&T Bank Stadium,1.0,1,6500,9,
American,American,1.0,1,6533,9,
La Plaza Mall,La Plaza Mall,1.0,1,6564,9,
Queen Elizabeth II,Queen Elizabeth II,1.0,1,6567,9,
Memphis International Airport,Memphis International Airport,1.0,1,3484,5,
Rickenbacker International Airport,Rickenbacker International Airport,1.0,1,7238,9,
Notre Dame High School,Notre Dame High School,1.0,1,20664,20,
flowering plants,plants,0.6666666666666666,0,6377,9,
chrysanthemums,mums or chrysanths,0.0,0,6443,6,
Alan Menken,Alan Menken,1.0,1,7074,9,
Ken Leung,"Kenneth ""Ken"" Leung",0.8,0,11330,7,
United States,American,0.0,0,6557,9,
Cybersecurity,cybersecurity,1.0,1,8440,10,
William of Wykeham,William of Wykeham,1.0,1,6453,9,
The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,1.0,1,13670,14,
743 (at the 2010 census),743,0.33333333333333337,0,3829,5,
Anthony Hopkins and Jessica Lange,Anthony Hopkins and Jessica Lange,1.0,1,7575,10,
August Burns Red,August Burns Red,1.0,1,12365,11,
Virginia Wade,Virginia Wade,1.0,1,6396,9,
1928,1928,1.0,1,6171,9,
American,American,1.0,1,6104,9,
Bankers Life Fieldhouse,Bankers Life Fieldhouse,1.0,1,3685,5,
Haworth,England,0.0,0,14874,15,
Henry Bacon,Henry Bacon,1.0,1,6520,9,
Larry Tanenbaum,Lawrence M. Tanenbaum,0.4,0,5284,6,
Allan Dwan,Allan Dwan,1.0,1,6235,9,
Six,six,1.0,1,6609,9,
Carlos Bacca,Carlos Arturo Bacca Ahumada,0.6666666666666666,0,5021,5,
Castle Road,Castle Road,1.0,1,14526,15,
Oil of vitriol,oil of vitriol,1.0,1,6277,9,
John Kennedy Toole,John Kennedy Toole,1.0,1,12293,11,
,Northwest Side,0.0,0,1840,2,Executor failed: APITimeoutError: Request timed out.
"Rockhill Furnace, Pennsylvania","Rockhill Furnace, Pennsylvania",1.0,1,8489,9,
Australia,Australia,1.0,1,6365,9,
Aadesh Shrivastava,Aadesh Shrivastava,1.0,1,10779,10,
No,no,1.0,1,3590,5,
Pirelli World Challenge,Pirelli World Challenge,1.0,1,6916,9,
Frank Darabont,Frank Darabont,1.0,1,11973,13,
Ochagavia,Ochagavia,1.0,1,6536,9,
Yes,yes,1.0,1,6301,9,
,Tom Wopat,0.0,0,29700,27,Planner call failed: APITimeoutError: Request timed out.
Kirk Kerkorian,"Kerkor ""Kirk"" Kerkorian",0.8,0,6489,9,
Showbox,Showbox,1.0,1,6281,9,
Katelyn Tarver,Katelyn Tarver,1.0,1,8796,9,
"Las Vegas, Nevada","Las Vegas, Nevada",1.0,1,8207,10,
David Ayer,David Ayer,1.0,1,6754,9,
Music Icons,"""Music Icons""",1.0,1,4243,5,
Scott Derrickson,Scott Derrickson,1.0,1,6676,9,
,Neosho River,0.0,0,25287,23,Planner call failed: APITimeoutError: Request timed out.
Julie Cooper,Julie Cooper,1.0,1,14463,14,
$268 million,$268 million,1.0,1,7793,10,
1928,1928,1.0,1,6508,9,
No,no,1.0,1,6407,9,
,Sarfarosh,0.0,0,46718,32,Executor failed: APITimeoutError: Request timed out.
Ekaterina Gordeeva,Ekaterina Gordeeva,1.0,1,19456,10,
Texas Tech Red Raiders,Texas Tech Red Raiders,1.0,1,6767,9,
Bradshaw (John Layfield),John Layfield,0.8,0,6563,9,
,Twenty One Pilots,0.0,0,12426,13,Planner call failed: APITimeoutError: Request timed out.
Reggie Yates,Reggie Yates,1.0,1,10504,12,
Richard Berry,Richard Berry,1.0,1,10642,12,
Prodigy,Prodigy,1.0,1,10155,13,
Palm Desert,"Palm Desert, California",0.8,0,6393,9,
chlorophyll a2 and b2,Chlorophyll,0.4,0,4740,5,
1786,1786,1.0,1,7925,10,
Sir C. V. Raman,Sir C. V. Raman,1.0,1,3764,5,
Owen Wilson,Owen Wilson,1.0,1,7882,10,
Dominic Thiem,Dominic Thiem,1.0,1,7297,9,
Canadian Football League (CFL),Canadian Football League,0.8571428571428571,0,7675,9,
8,eight,0.0,0,6708,9,
Orlando,Orlando,1.0,1,6456,9,
Chien-gris,Chien-gris,1.0,1,6680,9,
The Octopus card was available first (September 1997) compared to the Nol Card (August 2009).,Octopus card,0.23529411764705882,0,9326,10,
Lest we forget,"""Lest we forget""",1.0,1,6629,9,
Disturbed,Disturbed,1.0,1,8040,10,
1952,1952,1.0,1,6450,9,
Bath,Bath,1.0,1,6373,9,
Enemy of the State,Enemy of the State,1.0,1,8511,9,
University of Toronto,The University of Toronto,0.8571428571428571,0,9028,9,
Doom,Doom,1.0,1,4374,6,
Glassroth v. Moore,Glassroth v. Moore,1.0,1,6604,9,
Memphis,Memphis,1.0,1,6311,9,
attacking midfielder,attacking midfielder,1.0,1,6494,9,
1892,1892,1.0,1,6623,9,
,DreamWorks Animation,0.0,0,34430,32,Planner call failed: APITimeoutError: Request timed out.
Ward Estate,Ward Estate,1.0,1,6745,9,
"Washington, D.C.","Washington, D.C.",1.0,1,9668,13,
Rhapsody in Blue,Rhapsody in Blue,1.0,1,6664,9,
Yes,yes,1.0,1,6338,9,
John Carney,John Carney,1.0,1,6512,9,
21 Jump Street,21 Jump Street,1.0,1,6446,9,
FX,FX,1.0,1,6475,9,
Domenico Dolce and Stefano Gabbana,Domenico Dolce and Stefano Gabbana.,1.0,1,3702,5,
,Syco Music and Columbia Records,0.0,0,8334,6,Executor failed: APITimeoutError: Request timed out.
1911,1911,1.0,1,6446,9,
"Granby, Colorado","Granby, Colorado",1.0,1,13649,14,
Niagara County,Niagara County,1.0,1,3404,5,
Evanston,"Evanston, Illinois",0.6666666666666666,0,6041,9,
Modern Drummer,Modern Drummer,1.0,1,6339,9,
Tuppence Middleton,Tuppence Middleton,1.0,1,13725,15,
They are both punk bands.,band,0.0,0,20704,18,
Trevor Knight,Trevor Knight,1.0,1,12080,14,
Brazil,Brazil,1.0,1,9721,13,
Matthew Kelly,Matthew Kelly,1.0,1,8997,9,
Hey Monday,Hey Monday,1.0,1,5284,5,
1999,1999,1.0,1,6749,9,
,Slovenia,0.0,0,1362,2,Executor failed: APITimeoutError: Request timed out.
10 August 1296,10 August 1296,1.0,1,7281,9,
Yes,yes,1.0,1,6183,9,
,Ottokar Kernstock,0.0,0,5676,6,Executor failed: APITimeoutError: Request timed out.
Lincoln Barrett,Lincoln Barrett,1.0,1,7705,10,
Square Enix,Square Enix,1.0,1,6873,9,
"167,446","167,446",1.0,1,6360,9,
Beverages,drink,0.0,0,6290,9,
Yes,yes,1.0,1,6564,9,
Donald Trump,Donald Trump,1.0,1,10386,10,
Cornershop,Wiiija,0.0,0,10434,9,
Judson,Judson,1.0,1,5000,6,
Tyndall Air Force Base,Tyndall Air Force Base,1.0,1,13480,13,
,Zale Corporation,0.0,0,25611,25,Planner call failed: APITimeoutError: Request timed out.
1982,1982,1.0,1,7027,9,
Tommy Morrison,Tommy Morrison,1.0,1,5039,5,
Armin van Buuren,Armin van Buuren,1.0,1,6657,9,
The Second City,Second City Theatre,0.6666666666666666,0,7517,7,
Pune,Pune,1.0,1,6752,9,
David Usher,David Usher,1.0,1,6143,9,
Quinceañera,Quinceañera,1.0,1,6590,9,
,Andrew Bird,0.0,0,41219,24,Executor failed: APITimeoutError: Request timed out.
Tennis,tennis,1.0,1,6274,9,
New Orleans Saints,New Orleans Saints,1.0,1,10042,13,
Laura Kirk,Laura Ellen Kirk,0.8,0,9260,13,
German Football Association (DFB),The DFB Sports Court,0.25,0,4178,5,
"Atlanta, Georgia","Atlanta, Georgia",1.0,1,6603,9,
Beyond the Gates of Splendor,Beyond the Gates of Splendor,1.0,1,7951,10,
440,440,1.0,1,6401,9,
,Hector on Stilts,0.0,0,12657,12,Planner call failed: APITimeoutError: Request timed out.
Democrat,Democrat,1.0,1,6569,9,
A Long Way Home,"""A Long Way Home""",1.0,1,6392,9,
Eastern North America,eastern North America,1.0,1,7110,9,
United States,American,0.0,0,7315,9,
Brandon Tartikoff,Brandon Tartikoff,1.0,1,4302,5,
"Yarmouth, Maine","Yarmouth, Maine",1.0,1,6710,9,
No,no,1.0,1,11152,13,
"7,585","7,585",1.0,1,6392,9,
"Sweden, Finland, and Norway","Sweden, Finland, and Norway",1.0,1,6920,9,
Affirmative action,Affirmative action,1.0,1,3838,5,
La Fea Mas Bella,La Fea Mas Bella,1.0,1,6373,9,
No,no,1.0,1,6455,9,
No,no,1.0,1,6365,9,
Catherine Deneuve,Catherine Deneuve,1.0,1,6409,9,
Desiderata,Desiderata,1.0,1,8904,9,
Flowering plants,flowering plants,1.0,1,6390,9,
$1.7 billion,$1.7 billion,1.0,1,6507,9,
And There's More,And There's More,1.0,1,10954,9,
Royal Opera House,The Royal Opera House,0.8571428571428571,0,7353,9,
Teeth,Teeth,1.0,1,3844,5,
Wichita City Carnegie Library Building,Wichita City Carnegie Library Building,1.0,1,7449,9,
William T. Anderson,William T. Anderson,1.0,1,3484,5,
Liverpool,Liverpool Football Club,0.5,0,6545,9,
Film director,film director,1.0,1,6223,9,
22 June 1944,22 June 1944,1.0,1,6219,9,
10,ten weeks,0.0,0,10927,14,
Pride Divide,Pride Divide,1.0,1,6499,9,
Ridley Scott,Ridley Scott,1.0,1,6491,9,
second,second,1.0,1,6962,9,
Martin Heidegger,Martin Heidegger,1.0,1,6301,9,
No,no,1.0,1,6433,9,
Fir,Firs,0.0,0,6410,9,
Ice King,Ice King,1.0,1,7341,9,
1950,1950,1.0,1,7660,10,
Carlsberg Laboratory,Carlsberg Laboratory,1.0,1,6917,9,
American,American,1.0,1,6335,9,
Mercedes-Benz,Smart,0.0,0,3849,5,
Deadpool 2,Deadpool 2,1.0,1,7418,9,
South Park,South Park,1.0,1,8143,6,
A. J. McClung Memorial Stadium,J. McClung Memorial Stadium,0.888888888888889,0,9149,11,
No,no,1.0,1,6370,9,
Javier Sotomayor,Javier Sotomayor,1.0,1,6939,9,
Alex Cox,"Alexander ""Alex"" Cox",0.8,0,6279,9,
4,four,0.0,0,8799,10,
Elizabeth Smylie,Elizabeth Smylie,1.0,1,7013,9,
"39,134","39,134",1.0,1,6346,9,
1928,1928,1.0,1,8390,10,
William Grant Still,William Grant Still,1.0,1,6784,9,
Filmmaker,director,0.0,0,6506,9,
Pro Wrestling Fujiwara Group,Pro Wrestling Fujiwara Group,1.0,1,10519,11,
Ngangkiparri,Ngangkiparri,1.0,1,6565,9,
The Awakening,The Awakening,1.0,1,8911,10,
Yes,yes,1.0,1,6216,9,
Cleveland Browns,Cleveland Browns,1.0,1,3728,5,
Francesco Baracca,Count Francesco Baracca,0.8,0,3684,5,
,Southern Baptist Theological Seminary,0.0,0,14022,16,Planner call failed: APITimeoutError: Request timed out.
,Wadia Group,0.0,0,5095,6,Executor failed: APITimeoutError: Request timed out.
October 2001,October 2001,1.0,1,4927,6,
,Joseph Groome Towers,0.0,0,34919,25,Planner call failed: APITimeoutError: Request timed out.
Camp Chapman attack,Camp Chapman attack,1.0,1,3897,5,
Vladislav Lantratov,Vladislav Lantratov,1.0,1,10452,10,
1626,1626,1.0,1,23560,22,
5,five,0.0,0,6837,9,
Microsoft Studios,Microsoft Studios,1.0,1,8543,10,
Ulster,Ulster,1.0,1,4429,5,
Rosemary Sutcliff,Rosemary Sutcliff,1.0,1,11852,10,
The Usual Suspects,The Usual Suspects,1.0,1,7884,10,
1995,1995,1.0,1,6438,9,
Caltech (California Institute of Technology),Caltech,0.33333333333333337,0,7774,10,
U.S. Route 51,U.S. Route 51,1.0,1,6650,9,
51 Birch Street,51 Birch Street,1.0,1,6373,9,
1967,1967,1.0,1,6552,9,
Harry Doyle,Harry Doyle,1.0,1,21533,26,
documentary,documentary,1.0,1,6398,9,
Béla Bartók,Béla Viktor János Bartók,0.6666666666666666,0,3692,5,
Tony Rice,Tony Rice,1.0,1,7924,9,
2001,2001,1.0,1,5599,5,
Sidney Hall,Sidney Hall,1.0,1,12324,12,
,The London Connection,0.0,0,27176,29,Maximum planner steps reached before final answer.
American and Canadian,American-Canadian,0.0,0,7412,10,
Charleston,Charleston,1.0,1,5860,9,
California,California,1.0,1,6111,9,
China,China,1.0,1,6243,9,
,Micromeria,0.0,0,28646,29,Maximum planner steps reached before final answer.
No,no,1.0,1,6333,9,
The New York Times,The New York Times,1.0,1,6598,9,
"1,200","1,200",1.0,1,8117,10,
2006,2006,1.0,1,3460,5,
Belgrade,Belgrade,1.0,1,6365,9,
1989,1989,1.0,1,8597,9,
The United States Department of Health and Human Services,the United States Department of Health and Human Services,1.0,1,6306,9,
Pan-Africanism,Pan-Africanism,1.0,1,3638,5,
"May 16, 1947","May 16, 1947",1.0,1,6218,9,
The IT Crowd,"""The IT Crowd""",1.0,1,6445,9,
Bella,Bella,1.0,1,3463,5,
,Rock,0.0,0,43687,39,Maximum planner steps reached before final answer.
Tina Turner,Tina Turner,1.0,1,6731,9,
Yes,yes,1.0,1,6404,9,
Oleg Menshikov,Oleg Menshikov,1.0,1,10892,13,
18 March 1985,18 March 1985,1.0,1,7476,10,
Requiem in White,Requiem in White,1.0,1,6992,9,
1879,1879,1.0,1,6207,9,
"Irvine, California","Irvine, California",1.0,1,10097,13,
Sports Illustrated,Sports Illustrated,1.0,1,6512,9,
8,eight,0.0,0,6753,9,
,Objectivist,0.0,0,54409,40,Maximum planner steps reached before final answer.
Credit Union Christmas Pageant,Credit Union Christmas Pageant,1.0,1,6495,9,
Guy Ritchie,Guy Ritchie,1.0,1,3439,5,
Football,football,1.0,1,6174,9,
The Inbetweeners Movie,The Inbetweeners 2,0.6666666666666666,0,13983,12,
Edward Burne-Jones,Edward Burne-Jones,1.0,1,3686,5,
Austrian,Austrian,1.0,1,7817,9,
Big 12 Conference,the Big 12 Conference,0.8571428571428571,0,10740,13,
,1664,0.0,0,14118,14,Planner call failed: APITimeoutError: Request timed out.
Loretta Lynn,Loretta Lynn,1.0,1,6596,9,
1991,1991,1.0,1,6158,9,
Yes,yes,1.0,1,6288,9,
,Gary Sinise,0.0,0,6490,6,Executor failed: APITimeoutError: Request timed out.
Steve Inskeep and Renée Montagne,Renée Montagne,0.5714285714285715,0,10458,10,
Football League,Lancashire League,0.5,0,11227,10,
,"April 12, 2011",0.0,0,1401,2,Executor failed: APITimeoutError: Request timed out.
Tom Sawyer,"Thomas ""Tom"" Sawyer",0.8,0,4386,5,
The Northwest Angle,The Northwest Angle,1.0,1,12786,13,
22 July 2002,22 July 2002,1.0,1,7640,10,
2011,2011,1.0,1,6474,9,
Yes,yes,1.0,1,6524,9,
,Unfabulous,0.0,0,9460,10,Executor failed: APITimeoutError: Request timed out.
Great Britain,England,0.0,0,11553,13,
Springfield Elementary School,Springfield Elementary School,1.0,1,6377,9,
Tennis,tennis,1.0,1,6393,9,
Lucy Maud Montgomery,Lucy Maud Montgomery,1.0,1,3635,5,
Best Young Actor/Actress,Best Young Actor/Actress,1.0,1,7952,10,
,John Wayne,0.0,0,10499,10,Executor failed: APITimeoutError: Request timed out.
Lillibullero,Lillibullero,1.0,1,6415,9,
Stephen Frears,Stephen Frears,1.0,1,20399,15,
9.2 million,9.2 million,1.0,1,6381,9,
Rome,Rome,1.0,1,7056,9,
Mohan Veena,Mohan Veena (slide guitar),0.6666666666666666,0,6772,9,
Warrior King,"""Warrior King""",1.0,1,6388,9,
The Jungle Book,The Jungle Book,1.0,1,3553,5,
Oprah Winfrey,Oprah Winfrey,1.0,1,6723,9,
The Battle of Liège and the Battle of Tannenberg,Battle of Liège and the Battle of Tannenberg,0.9411764705882353,0,6447,9,
Stephen Devassy,Stephen Devassy,1.0,1,10916,13,
No,no,1.0,1,3956,5,
Bruce Weber,Bruce Weber,1.0,1,6520,9,
Scottish,Scottish,1.0,1,6488,9,
Yes,yes,1.0,1,6245,9,
Riccardo Cocchi,Riccardo Cocchi,1.0,1,3397,5,
1967,1967,1.0,1,6525,9,
Colorado Avalanche,Colorado Avalanche,1.0,1,6674,9,
Tsui Hark,Tsui Hark,1.0,1,10361,13,
Belgium,Belgium,1.0,1,6629,9,
,The Day After,0.0,0,15953,16,Planner call failed: APITimeoutError: Request timed out.
Yes,no,0.0,0,7965,10,
1993,1993,1.0,1,11213,12,
Discovery Institute,Discovery Institute's Center for Science and Culture,0.22222222222222224,0,6340,9,
University of Texas,University of Texas,1.0,1,7542,10,
"October 22, 1992","October 22, 1992",1.0,1,6572,9,
,Rashida Jones,0.0,0,32977,29,Planner call failed: APITimeoutError: Request timed out.
1990s,1990s,1.0,1,6730,9,
Partington,Partington,1.0,1,6553,6,
Medici,Medici,1.0,1,6195,9,
Amherst College,Amherst College,1.0,1,3633,5,
American,American,1.0,1,6373,9,
David Cutcliffe,David Cutcliffe,1.0,1,5481,5,
Raees,Raees,1.0,1,3775,5,
Bruce Darnell,Bruce Darnell,1.0,1,10157,10,
South Korea,South Korea,1.0,1,3400,5,
"8,777","8,777",1.0,1,6598,9,
,MTV VJ,0.0,0,28359,24,Planner call failed: APITimeoutError: Request timed out.
"2006, Brushfire Records",2006,0.5,0,7887,10,
"Yes, both Ima Robot and Of Montreal are music bands.",yes,0.18181818181818182,0,6240,9,
78.5 miles,78.5 mi,0.5,0,6263,9,
The Northeast Regional,The Northeast Regional,1.0,1,11675,14,
Yakshagana,Yakshagana,1.0,1,6921,5,
1871,1871,1.0,1,6608,9,
London,East Dulwich,0.0,0,35070,31,
raw sexuality,raw sexuality,1.0,1,6830,9,
Immanuel College,Immanuel College,1.0,1,6601,9,
"March 25, 1928","March 25, 1928",1.0,1,6898,9,
Apple TV,Apple TV,1.0,1,5189,6,
The Jaeger Corps,Jaeger Corps,0.8,0,19364,16,
"Victor A. Vyssotsky, Robert Morris Sr., and M. Douglas McIlroy",Bell Labs,0.0,0,18299,19,
Denis Johnson,Denis Johnson,1.0,1,9249,10,
Tony Scott,Tony Scott,1.0,1,8208,10,
King George V,George V,0.8,0,6681,9,
Western Division,Western Division,1.0,1,6538,9,
,GamePro,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
"Pierre Womé is known for being a versatile Cameroonian defender (specifically a left wingback) and for being one of only eleven players to have played in the top divisions of Italy, Spain, England, and Germany.",his speed on the ball,0.049999999999999996,0,8287,9,
No,no,1.0,1,5364,6,
Edgewater,Edgewater,1.0,1,6623,9,
Lily Tomlin,"Mary Jean ""Lily"" Tomlin",0.6666666666666666,0,26426,25,
,Hit Parader,0.0,0,1443,2,Executor failed: APITimeoutError: Request timed out.
New York,New York,1.0,1,3528,5,
Yes,yes,1.0,1,6383,9,
Gregory Hines,Gregory Hines,1.0,1,4877,5,
Central Intelligence Agency (CIA),Central Intelligence Agency,0.8571428571428571,0,6615,9,
scoring goals,scoring goals,1.0,1,6543,9,
1957,1957,1.0,1,3422,5,
University of Washington,University of Washington,1.0,1,6834,9,
Yes,yes,1.0,1,7118,9,
,Trouble Every Day,0.0,0,2713,2,Executor failed: APITimeoutError: Request timed out.
David Jason,Sir David John White,0.3333333333333333,0,3807,5,
Sammy Wilson,Sammy Wilson,1.0,1,3749,5,
Torah and Talmudic scholar,Torah and Talmudic scholar,1.0,1,7853,9,
Sleeper Agent,Sleeper Agent,1.0,1,3504,5,
New Jersey,New Jersey,1.0,1,6153,9,
Denmark,Denmark,1.0,1,3372,5,
,Dancing with the Stars,0.0,0,4935,4,Planner call failed: APITimeoutError: Request timed out.
Luigi Einaudi,Luigi Einaudi,1.0,1,6220,9,
1986,1986,1.0,1,6235,9,
Yes,yes,1.0,1,4449,5,
,Erik Paulsen,0.0,0,37124,30,Planner call failed: APITimeoutError: Request timed out.
Mount Panorama and Wahluu,Mount Panorama and Wahluu,1.0,1,7012,9,
The Funtastic World of Hanna-Barbera,The Funtastic World of Hanna-Barbera,1.0,1,3978,5,
Amanda Curtis,Amanda Curtis,1.0,1,8051,9,
,Mick Woodmansey,0.0,0,20565,21,Planner call failed: APITimeoutError: Request timed out.
Festivali i Këngës,Kënga Magjike,0.0,0,4109,5,
1945,1945,1.0,1,6664,9,
Donovan,Donovan,1.0,1,6527,9,
John Luessenhop,John Luessenhop,1.0,1,8094,10,
Rollo,Rollo,1.0,1,6759,9,
