prediction,reference,f1,em,tokens_used,num_api_calls
Ben Miller,Ben Miller,1.0,1,1765,1
Nick Cave,Nick Cave,1.0,1,1589,1
Lafayette,"Gilbert du Motier, Marquis de Lafayette",0.2857142857142857,0,2011,1
UEFA EURO 2020,UEFA Euro 2020,1.0,1,1619,1
Eastern Air Lines,International Association of Machinists,0.0,0,1848,1
"Putnam County, New York",Putnam County,0.6666666666666666,0,1686,1
Planes,Planes,1.0,1,1940,1
brassy or comic roles,comic roles,0.6666666666666666,0,4190,1
Hurricane Ivan,Hurricane Ivan,1.0,1,2675,1
hunting,bred for hunting,0.5,0,1505,1
Peter F. Paul,Peter F. Paul,1.0,1,2198,1
1908,1908,1.0,1,15875,1
Sulphur Bank Mine,Sulphur Bank Mine,1.0,1,1750,1
Lorraine Hansberry,Lorraine Vivian Hansberry,0.8,0,1388,1
Leroy,Leroy,1.0,1,2005,1
Brothers Grimm,Brothers Grimm,1.0,1,1737,1
Bluehole,PUBG Corp.,0.0,0,1761,1
Denny Doherty,Dennis Gerrard Stephen Doherty,0.3333333333333333,0,1301,1
the Germs,The Go-Go's,0.5,0,5719,1
Philippe Coutinho,Philippe Coutinho Correia,0.8,0,1433,1
Moroni,Moroni,1.0,1,1888,1
No,no,1.0,1,1412,1
1981,1981,1.0,1,1631,1
Norman Jewison,Norman Jewison,1.0,1,1285,1
Lincolnshire Posy,Lincolnshire Posy,1.0,1,1647,1
He Stopped Loving Her Today,He Stopped Loving Her Today,1.0,1,2276,1
Andrzej Żuławski,Andrzej Żuławski,1.0,1,1309,1
Eastern Congo Initiative,williamsworks,0.0,0,5617,1
Queer as Folk,Queer as Folk,1.0,1,1294,1
1954,1954,1.0,1,1414,1
Magnesium ions,magnesium,0.6666666666666666,0,2470,1
1969,1969,1.0,1,2500,1
Iceland,Iceland,1.0,1,2297,1
Brothers Quay,Brothers Quay,1.0,1,1405,1
American,American,1.0,1,1615,1
1968,1968,1.0,1,2212,1
Huaihua,Huaihua,1.0,1,1769,1
Harry Craft,Harry Francis Craft,0.8,0,1793,1
Key deer,Key deer,1.0,1,1775,1
Billy Bob Thornton,"""Billy Bob"" Thornton",1.0,1,1536,1
Raymond Mays,Raymond Mays,1.0,1,2011,1
Colored lights on the sides of the building,coloured lights,0.2,0,1548,1
Yes,yes,1.0,1,1551,1
M*A*S*H,surgeon Major Frank Burns,0.0,0,2025,1
Denmark,Denmark,1.0,1,2280,1
Triple Seven,"""Triple Seven""",1.0,1,1810,1
Bralorne,Bralorne,1.0,1,1917,1
United States Secretary of State,United States Secretary of State,1.0,1,2074,1
Genus,genus,1.0,1,1731,1
Grammy Award for Best Hard Rock Performance,Grammy Award,0.4444444444444445,0,1590,1
Wang Xiaoshuai,Del Lord,0.0,0,1352,1
Serj Tankian,Serj Tankian,1.0,1,1984,1
a Vice documentary,a Vice documentary,1.0,1,2550,1
Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,1.0,1,2060,1
Kosači,Kosači,1.0,1,1537,1
Frida,Frida,1.0,1,2326,1
1400,1400 mi,0.6666666666666666,0,2345,1
Joël Robuchon,Joël Robuchon,1.0,1,1881,1
Bacoli,Bacoli,1.0,1,1962,1
Insufficient information,yes,0.0,0,1517,1
Yes,yes,1.0,1,1764,1
The Ugliest Pilgrim,The Ugliest Pilgrim,1.0,1,1645,1
1986,in 1986,0.6666666666666666,0,1737,1
Dayton's,Target Corporation,0.0,0,1970,1
High Plains region of Texas,High Plains,0.5714285714285715,0,2089,1
45000,"45,000",1.0,1,2118,1
Slade,Slade,1.0,1,2439,1
magazines,magazine,0.0,0,1539,1
Miss Universe,Miss Universe,1.0,1,1451,1
Clarissa Eden,Anne Clarissa Eden,0.8,0,2333,1
Žalgiris Kaunas,Žalgiris Kaunas.,1.0,1,2150,1
WinSingad - Windows based software for singing training,software for singing training,0.7272727272727273,0,1435,1
Metallica,Metallica,1.0,1,1926,1
Yes,yes,1.0,1,1191,1
Peter Garrett,Peter Robert Garrett,0.8,0,2080,1
six weeks,six-week television series,0.0,0,1471,1
No,no,1.0,1,1437,1
Under Siege,producer,0.0,0,22601,1
The Classic Crime,The Classic Crime,1.0,1,1668,1
Steven Tyler,Steven Tyler,1.0,1,1557,1
5.5 million,5.5 million,1.0,1,3525,1
Jens Lehmann,Jens Lehmann,1.0,1,1774,1
Will Traynor,Will Traynor,1.0,1,2020,1
Abigail Breslin,Abigail Breslin,1.0,1,1827,1
5,fifth,0.0,0,2250,1
PEC Zwolle,Zwolle,0.6666666666666666,0,1644,1
Connie Murphy,Connie Murphy,1.0,1,1763,1
Make,Make,1.0,1,1862,1
"His eclectic mix of musical styles combining soul, jazz, rock, pop, reggae, blues, and distinctive soulful voice that allowed him to achieve Top 10 hits in both the UK and US.",eclectic mix of musical styles,0.27777777777777773,0,2528,1
Yahi,the Yahi tribe,0.5,0,1968,1
Operation Nordwind,Operation North Wind,0.4,0,2003,1
Serge Haroche,Serge Haroche,1.0,1,2272,1
Melvins,The Melvins,0.6666666666666666,0,1793,1
Aguecheek,Aguecheek,1.0,1,2005,1
No,yes,0.0,0,1601,1
Yes,yes,1.0,1,1664,1
No,no,1.0,1,2043,1
Polka,Polka,1.0,1,3881,1
Bob Stoops,Bob Stoops,1.0,1,1893,1
Marmaduke,Marmaduke,1.0,1,1670,1
John Tardy,John Tardy,1.0,1,1352,1
Lil' Mo,Cynthia Karen Loving,0.0,0,1929,1
Prince of Bismarck,"Prince of Bismarck, Duke of Lauenburg",0.6666666666666666,0,2688,1
Melbourne,Melbourne,1.0,1,1740,1
Jungle Jim,Jungle Jim,1.0,1,1698,1
"Theater at Madison Square Garden in New York City, New York",Theater at Madison Square Garden,0.625,0,2279,1
Slovenian,Slovenian,1.0,1,2150,1
I Knew You Were Trouble,I Knew You Were Trouble,1.0,1,1826,1
"Teatro dei Fiorentini, Naples",Teatro dei Fiorentini,0.8571428571428571,0,2071,1
"September 26, 1984","September 26, 1984",1.0,1,1950,1
not provided,2015,0.0,0,6531,1
David Connell,David Connell,1.0,1,2024,1
Failed at the American box office,It performed disappointingly,0.0,0,2133,1
Winnie the Pooh,The Jungle Book,0.3333333333333333,0,3894,1
Yevgeny Kafelnikov,Yevgeny Aleksandrovich Kafelnikov,0.8,0,1143,1
Queen Elizabeth-class battleships,"Queen Elizabeth""-class battleships",1.0,1,2068,1
Weimar,Grossherzogliches (Grand Ducal) Theater,0.0,0,1741,1
1900,1900,1.0,1,2091,1
1980s,developed by Ivasim in 1980s,0.33333333333333337,0,1500,1
NBC's Discovery Kids,NBC's Discovery Kids,1.0,1,2462,1
United Kingdom,United Kingdom,1.0,1,1725,1
"Charles Wellesley, 9th Duke of Wellington",Duke of Wellington,0.6666666666666666,0,1892,1
The Game Plan,The Game Plan,1.0,1,1675,1
Twin Peaks,Twin Peaks,1.0,1,2299,1
tennis,tennis player,0.6666666666666666,0,1073,1
3,three-door,0.0,0,1965,1
Ortigas Center,Ortigas Center,1.0,1,2663,1
"May 16, 1946","May 16, 1946",1.0,1,1640,1
Chris Anderson,Chris Anderson,1.0,1,1242,1
No,no,1.0,1,1580,1
from 1956 to 1996,from 1956 to 1996,1.0,1,2020,1
Aloe,Aloe,1.0,1,3856,1
1787,1787,1.0,1,2469,1
Reginald Denny,Reginald Denny,1.0,1,2678,1
Bajo de la Carpa Formation,Portezuelo Formation,0.28571428571428575,0,4969,1
Europe,Europe,1.0,1,1910,1
"Salford, Greater Manchester",Greater Manchester,0.8,0,2293,1
grade school and high school education,a grade school and high school,0.8333333333333334,0,2292,1
Alberto Zaccheroni,Alberto Zaccheroni,1.0,1,1933,1
London Stock Exchange,the London Stock Exchange,0.8571428571428571,0,1767,1
Dick Van Patten,Dick Van Patten,1.0,1,1531,1
The Elements,all the chemical elements,0.6666666666666666,0,1459,1
Melbourne,Melbourne,1.0,1,1411,1
"they both worked on ""Naruto""",American,0.0,0,10547,1
1973,1973,1.0,1,2156,1
Alexandra Feodorovna,Alexandra Feodorovna,1.0,1,1825,1
"Las Vegas, Nevada","Las Vegas, Nevada",1.0,1,1886,1
Cafaro Company,Cafaro Company,1.0,1,3137,1
A-Gon,A-Gon,1.0,1,2262,1
New Jersey,New Jersey,1.0,1,1931,1
23 June 2013,23 June 2013.,1.0,1,1519,1
Dean Koontz,Dean Ray Koontz,0.8,0,1469,1
Stephen King,Stephen King,1.0,1,2031,1
Africa,born in Africa or are of African descent,0.2222222222222222,0,5242,1
Cheers (Drink to That),"""Cheers (Drink to That)""",1.0,1,2420,1
Abbasid,Tahirid dynasty,0.0,0,2855,1
Royal Exchange Theatre and the Royal Exchange Shopping Centre,the Royal Exchange Theatre and the Royal Exchange Shopping Centre.,0.9473684210526316,0,1555,1
No,no,1.0,1,1985,1
no,no,1.0,1,2410,1
Sheldon Silver,Sheldon Silver,1.0,1,1528,1
Moscow Satyricon Theatre,Moscow Satyricon Theatre,1.0,1,2049,1
over 80 awards,over 80,0.8,0,2483,1
No,no,1.0,1,1685,1
Ruth Madoff,Ruth Madoff,1.0,1,4568,1
1809,1809,1.0,1,1236,1
Australia,Australia,1.0,1,2267,1
Peter Auty,Peter Auty,1.0,1,2059,1
Baychester was formerly home to Freedomland U.S.A.,formerly home to the amusement park,0.4615384615384615,0,1133,1
Texas country music,Texas country music,1.0,1,1787,1
Donald Duck,Donald Duck,1.0,1,2242,1
a criminal who became an antihero,originally a villain,0.2222222222222222,0,2124,1
film director,director,0.6666666666666666,0,1459,1
Vanity Fair,1868 to 1914,0.0,0,1680,1
Alex Chilton,Alexander Chilton,0.5,0,3461,1
Joshua son of Sirach,his father Joshua,0.28571428571428575,0,4476,1
Kevin Wilson,Kevin Reece Wilson,0.8,0,1848,1
Selena Gomez,Selena Gomez,1.0,1,1861,1
Arizona,Arizona,1.0,1,1718,1
Lost Frequencies,Lost Frequencies,1.0,1,1477,1
PepsiCo,the Pepsi-Cola company,0.0,0,1488,1
5 days per decade,5 days per decade,1.0,1,2079,1
Nearly 11 million,Nearly 11 million,1.0,1,1746,1
No,no,1.0,1,1757,1
diabetes mellitus,diabetes,0.6666666666666666,0,2553,1
Comic Court,Comic Court,1.0,1,2008,1
I'Anson Baronetcy of Bassetbury,The I'Anson Baronetcy of Bassetbury,0.888888888888889,0,2801,1
Manhattan Project,the Manhattan Project,0.8,0,2620,1
No,yes,0.0,0,2270,1
Maytenus,Maytenus,1.0,1,1867,1
Lüliang,Lüliang,1.0,1,2046,1
No,no,1.0,1,1547,1
Henry Cavill,Kevin,0.0,0,3262,1
Nothing,monthly,0.0,0,1914,1
Chuck Daly,Chuck Daly,1.0,1,1945,1
Béla Bartók,Béla Viktor János Bartók,0.6666666666666666,0,2089,1
yes,yes,1.0,1,1874,1
2000,2000,1.0,1,2364,1
Bayern Munich,Bayern Munich,1.0,1,1726,1
Lari White,Lari Michele White,0.8,0,2352,1
D.O.,D.O.,1.0,1,1852,1
National Artist of the USSR,National Artist of the USSR,1.0,1,1349,1
Universal Pictures,Universal Pictures,1.0,1,1900,1
Robert Hanssen,Robert Philip Hanssen,0.8,0,1588,1
Jacobus Arminius,Jacobus Arminius,1.0,1,2000,1
No,no,1.0,1,1721,1
Beverly Hills,Beverly Hills,1.0,1,1703,1
Debra Lehrmann,Judge Debra Lehrmann,0.8,0,2446,1
J. R. R. Tolkien,J. R. R. Tolkien,1.0,1,2121,1
Bulbophyllum,Bulbophyllum,1.0,1,2017,1
"University of Georgia, Yale University",University of Georgia and Yale University,0.9090909090909091,0,1541,1
1967,1967,1.0,1,1796,1
defensive end,defensive end,1.0,1,2550,1
1982,1982,1.0,1,1578,1
West River (well over one-half of the land area),over one-half of the land area,0.8,0,2324,1
Korean War,Korean War,1.0,1,2368,1
Stratford-upon-Avon,the town of Stratford-upon-Avon,0.4,0,2252,1
Great Britain,the island of Great Britain,0.5714285714285715,0,2000,1
"Bill Paxton, Billy Bob Thornton and Bridget Fonda","Bill Paxton, Billy Bob Thornton and Bridget Fonda",1.0,1,1421,1
Paul Allen,Paul Allen,1.0,1,1368,1
No,no,1.0,1,1986,1
July 23 revolution,July 23 revolution,1.0,1,2988,1
elliptical galaxy,An elliptical galaxy,0.8,0,2481,1
Allan,Heywood,0.0,0,1600,1
Rigveda Wiki,Rigveda Wiki,1.0,1,1568,1
Elizabeth,Elizabeth,1.0,1,1510,1
Memories of Murder,Memories of Murder,1.0,1,1557,1
Florida Atlantic,Florida Atlantic,1.0,1,1527,1
Amsterdam Airport Schiphol,Amsterdam Airport Schiphol,1.0,1,2107,1
Pink Gin,Pink Gin,1.0,1,1419,1
American Civil War,American Civil War,1.0,1,1881,1
The Operation M.D.,The Operation M.D.,1.0,1,1669,1
Now Is Good,Now Is Good,1.0,1,1707,1
Conor Cruise O'Brien,an Irish politician,0.0,0,2555,1
American documentary films,documentary film,0.4,0,1371,1
Yes,the third largest city in the country,0.0,0,1761,1
1957,1957,1.0,1,1405,1
Jeremy Hunt,Jeremy Richard Streynsham Hunt,0.6666666666666666,0,1930,1
Leicester City,Leicester City Football Club,0.6666666666666666,0,4275,1
Super Bowl ring,Super Bowl ring,1.0,1,1947,1
Yes,yes,1.0,1,1384,1
British,yes,0.0,0,1838,1
Royal Academy of Dramatic Art,London at the Royal Academy of Dramatic Art,0.7692307692307693,0,1698,1
Kansas,Kansas,1.0,1,2243,1
Wilderness Road,The Wilderness Road,0.8,0,1978,1
1983,1983,1.0,1,1412,1
5,Four,0.0,0,4645,1
"Copenhagen and Herning, Denmark",The 2018 IIHF World Championship,0.0,0,3935,1
JWoww,"Jenni ""JWoww"" Farley",0.5,0,2591,1
Laudato si',Praise be to you,0.0,0,7753,1
Navy,Navy,1.0,1,2194,1
Bob Edwards,Bob Edwards,1.0,1,2018,1
Canary Islands,"Canary Islands, Spain",0.8,0,1436,1
Norwegian Buhund,The Norwegian Buhund,0.8,0,1958,1
Alexander III,Emperor Alexander III,0.8,0,1972,1
Yellow Loveless,Yellow Loveless,1.0,1,2070,1
Raja Gosnell,Chris Columbus,0.0,0,1619,1
"June 21, 2016","June 21, 2016",1.0,1,2306,1
1810,1810,1.0,1,1971,1
Michael Grant,Michael Grant,1.0,1,2384,1
"March 28, 2014","March 28, 2014",1.0,1,1845,1
Las Vegas,Paradise and Winchester,0.0,0,1946,1
Yes,yes,1.0,1,2188,1
Russian classical music,classical,0.5,0,1658,1
English,English,1.0,1,1713,1
Aealo is an album by Rotting Christ.,Greek extreme metal band,0.0,0,1397,1
Brendan O'Brien,Brendan O'Brien,1.0,1,1688,1
Charles Gounod,Charles-François Gounod,0.5,0,1867,1
Cheltenham & Gloucester Building Society,Cheltenham & Gloucester,0.6666666666666666,0,2241,1
"Prince William, Duke of Cambridge",Prince William,0.5714285714285715,0,1799,1
General Manager,General Manager,1.0,1,1660,1
PJ Harvey,Polly Jean Harvey,0.4,0,1573,1
monthly,monthly,1.0,1,3017,1
25 January 1890,25 January 1890,1.0,1,1187,1
Marcy Playground,Marcy Playground,1.0,1,1381,1
Robert Stevenson,Robert Stevenson,1.0,1,1928,1
Red Ribbon,the Red Ribbon,0.8,0,1954,1
"6,735","6,735",1.0,1,1691,1
Las Vegas Valley,Las Vegas Valley,1.0,1,2172,1
Japanese,Japanese,1.0,1,1677,1
highest paid child actress,highest paid child actress,1.0,1,2069,1
Woman's Viewpoint,Woman's Viewpoint,1.0,1,1577,1
Benjamin Wills Newton,Benjamin Wills Newton,1.0,1,2016,1
video games,video games,1.0,1,2048,1
Alicia Keys,Solange,0.0,0,6251,1
Néstor Kirchner,Néstor Kirchner,1.0,1,1957,1
Chinese Crested Dog,Chinese Crested Dog,1.0,1,1674,1
No,no,1.0,1,3329,1
United States Army,Henry Beebee Carrington,0.0,0,2436,1
Virginia Ruano Pascual,Virginia Ruano Pascual,1.0,1,1208,1
Red Hot Chili Peppers,Red Hot Chili Peppers,1.0,1,2252,1
English,English,1.0,1,1828,1
athletics director,athletics director,1.0,1,2527,1
1727,1727,1.0,1,1880,1
"211 Central Park West, between 81st and 82nd Streets",211 Central Park West,0.6153846153846153,0,1884,1
no,no,1.0,1,4123,1
Trey Parker and Matt Stone,Trey Parker and Matt Stone,1.0,1,1663,1
Lombardy,"Lombardy, northern Italy",0.5,0,1346,1
Justin Chancellor,Justin Chancellor,1.0,1,1918,1
Higbee's,Higbee's,1.0,1,2325,1
Donald Trump,Donald Trump,1.0,1,1645,1
Stock Exchange of Hong Kong Limited,The Stock Exchange of Hong Kong Limited,0.923076923076923,0,1909,1
Alexandre Aja,Alexandre Aja,1.0,1,2104,1
Australia,"New South Wales, Australia",0.4,0,1542,1
1651,in 1651,0.6666666666666666,0,5837,1
1914,1914,1.0,1,2176,1
Asa Candler,Asa Candler,1.0,1,1899,1
Yes,yes,1.0,1,1970,1
Alex Garland,Alex Garland,1.0,1,1878,1
Landscape with Obelisk,Landscape with Obelisk is painting by Dutch artist Govert Flinck,0.4615384615384615,0,1903,1
Labatt Open,Labatt Brewing Company,0.4,0,1665,1
"Norway, Sweden, Finland, Denmark, Iceland and the Faroe Islands","Norway, Sweden, Finland, Denmark, Iceland and the Faroe Islands",1.0,1,1574,1
New Holland,New Holland,1.0,1,1819,1
Peter Rufai,Peter Rufai,1.0,1,2111,1
Peter Rees,Peter Rees,1.0,1,2612,1
1856,1856,1.0,1,1928,1
Ogunquit,Ogunquit,1.0,1,1853,1
10 August 1397,10 August 139727,0.6666666666666666,0,2434,1
The section around the crossing of the River Ribble,The section around the crossing of the River Ribble,1.0,1,1614,1
"Elmhurst, Illinois","Elmhurst, Illinois",1.0,1,2144,1
Free Wired,Free Wired,1.0,1,2033,1
Changchun,Changchun,1.0,1,1752,1
Sam Bradford,Samuel Jacob Bradford,0.4,0,1811,1
Brenda VanLengen,Brenda VanLengen,1.0,1,1878,1
No,no,1.0,1,1938,1
"Lt. Robin Crusoe, U.S.N.",Lt. Robin Crusoe USN,1.0,1,1538,1
"2,956","2,956",1.0,1,1665,1
"Thomas Howard, 21st Earl of Arundel","Thomas Howard, 21st Earl of Arundel",1.0,1,2255,1
Assata Shakur,Assata Shakur,1.0,1,2455,1
Basque pelota,Basque pelota,1.0,1,2217,1
radio,radio,1.0,1,1590,1
"Cleveland, Ohio",Cleveland,0.6666666666666666,0,1410,1
Betty Lynn,Betty Lynn,1.0,1,2072,1
Steven Gould,Steven Gould,1.0,1,1793,1
Lisbon,Lisbon,1.0,1,2401,1
Michigan,Michigan,1.0,1,1954,1
Aurangabad,Aurangabad,1.0,1,1833,1
9,nine,0.0,0,2770,1
No,no,1.0,1,1822,1
Jean-Pierre Jeunet and Marc Caro,Jean-Pierre Jeunet and Marc,0.888888888888889,0,1522,1
Yes,yes,1.0,1,2236,1
Blade Runner 2048,2048: No Escape or 2048: Nowhere to Escape,0.18181818181818182,0,5304,1
John Hager,John Hager,1.0,1,1786,1
3 years,from 1971–74,0.0,0,1661,1
No,no,1.0,1,1726,1
6,sixth,0.0,0,2882,1
Bradley Cooper,Bradley Charles Cooper,0.8,0,2097,1
Deutschlandlied,Deutschlandlied,1.0,1,2034,1
Starman and Robin,"""Starman"" and ""Robin""",1.0,1,2373,1
Panzer VIII Maus,Panzerkampfwagen VIII Maus,0.6666666666666666,0,2155,1
10 years,ten years,0.5,0,2039,1
Dickran Tevrizian,Dickran M. Tevrizian Jr.,0.6666666666666666,0,1683,1
Mary Patterson,Mary Patterson,1.0,1,1611,1
The Third Jewish–Roman War or The Third Jewish Revolt,Second Revolt of Judea,0.15384615384615383,0,1967,1
United Kingdom,the United Kingdom,0.8,0,9429,1
Margaret Court Arena,Margaret Court Arena,1.0,1,2148,1
Nick Carter,Nick Carter,1.0,1,1740,1
1926,1926,1.0,1,1421,1
Gangnam district,Gangnam district,1.0,1,1935,1
Oklahoma,University of Oklahoma,0.5,0,2510,1
The Genesis Flood,The Genesis Flood: The Biblical Record and its Scientific Implications,0.4615384615384615,0,1676,1
362 km,362 km,1.0,1,1465,1
No,no,1.0,1,1315,1
Reality television,reality television,1.0,1,1714,1
1850,1850,1.0,1,1825,1
Australia,South America,0.0,0,2508,1
Bryan Beller,Bryan Beller,1.0,1,1802,1
Battle of Monmouth,Battle of Monmouth,1.0,1,2290,1
Neil Abercrombie,Neil Abercrombie,1.0,1,15858,1
Yes,yes,1.0,1,1385,1
central midfielder,midfielder,0.6666666666666666,0,1727,1
Benin,Benin,1.0,1,1790,1
Yes,yes,1.0,1,1458,1
Levi's Stadium,Levi's Stadium,1.0,1,2098,1
21 Demands,21 Demands,1.0,1,2593,1
China,China,1.0,1,2614,1
Julio Saraceni,Julio Saraceni,1.0,1,1594,1
"Upton, New York","Upton, New York",1.0,1,1635,1
"Daytona Beach, Florida","Daytona Beach, Florida",1.0,1,1954,1
gay sexual practices,"gay sex, and the gay bear subculture",0.2,0,2478,1
American,American,1.0,1,2012,1
Statesboro,"Statesboro, Georgia",0.6666666666666666,0,1887,1
deep blue color and water clarity,deep blue color,0.6666666666666666,0,1555,1
English,English actress,0.6666666666666666,0,1487,1
Yes,yes,1.0,1,2039,1
Norway,Europe,0.0,0,12865,1
Crenshaw,"""Crenshaw""",1.0,1,2533,1
Boomerang,Boomerang Latin America,0.5,0,1711,1
studio album,album,0.6666666666666666,0,8767,1
1987 to 1993,from 1987 to 1993,0.8571428571428571,0,1787,1
Yes,yes,1.0,1,1469,1
Yes,yes,1.0,1,2106,1
Clint Eastwood,Clinton Eastwood Jr.,0.4,0,2007,1
Rafael Nadal,"Rafael ""Rafa"" Nadal Parera",0.6666666666666666,0,1906,1
personal computers,computers,0.6666666666666666,0,2188,1
Fried dough for Youtiao; ox-tongue pastry is fried and made similarly with sugar added to the flour.,fried,0.1111111111111111,0,1893,1
Alan Parker,"Alan Parker,",1.0,1,2239,1
Dante,Dante Bonfim Costa Santos (born 18 October 1983),0.2222222222222222,0,2098,1
American,American,1.0,1,1886,1
New York Giants,With the Giants he won Super Bowl XLVI,0.18181818181818182,0,2877,1
2,two,0.0,0,2030,1
centre-back,centre-back,1.0,1,1152,1
New York,New York,1.0,1,1752,1
National Harbor,National Harbor,1.0,1,2099,1
koa,Acacia koa,0.6666666666666666,0,2458,1
Washington,Washington,1.0,1,1513,1
Super Bowl I,Super Bowl I,1.0,1,3274,1
WaMu Theatre at Madison Square Garden in New York City,the WaMu Theatre,0.30769230769230765,0,2474,1
Rashi Bunny,Rashi Bunny,1.0,1,2836,1
Yes,yes,1.0,1,1782,1
Upper Peninsula,The Upper Peninsula,0.8,0,2368,1
Miami Gardens,"Glendale, Arizona",0.0,0,1805,1
Métis,Métis,1.0,1,2307,1
crowned King of England,crowned,0.4,0,1947,1
"October 19, 1940",19 October 1940,1.0,0,2106,1
Push th' Little Daisies,Push th' Little Daisies,1.0,1,2501,1
Cable,Cable,1.0,1,2418,1
James Bridges,James Bridges,1.0,1,1332,1
Hogan's Heroes,Hogan's Heroes,1.0,1,1487,1
Alan Ameche,Alan Ameche,1.0,1,2402,1
No,no,1.0,1,726,1
ER White,ER White,1.0,1,1859,1
James Foley,James Foley,1.0,1,2533,1
