prediction,reference,f1,em,tokens_used,num_api_calls,error
No,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler",0.0,0,6585,9,
Ben Miller,Ben Miller,1.0,1,6579,9,
Nick Cave,Nick Cave,1.0,1,6287,9,
"Gilbert du Motier, Marquis de Lafayette","Gilbert du Motier, Marquis de Lafayette",1.0,1,7959,9,
UEFA EURO 2020,UEFA Euro 2020,1.0,1,4272,5,
Eastern Air Lines,International Association of Machinists,0.0,0,19135,16,
Putnam County,Putnam County,1.0,1,8291,10,
Planes,Planes,1.0,1,7559,9,
brassy or comic roles,comic roles,0.6666666666666666,0,6554,9,
Hurricane Ivan,Hurricane Ivan,1.0,1,4798,6,
Hunting,bred for hunting,0.5,0,6331,9,
,Peter F. Paul,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,1908,0.0,0,20433,14,Planner call failed: APITimeoutError: Request timed out.
Sulphur Bank Mine,Sulphur Bank Mine,1.0,1,7837,6,
Lorraine Hansberry,Lorraine Vivian Hansberry,0.8,0,6250,9,
Leroy,Leroy,1.0,1,3726,5,
The Brothers Grimm,Brothers Grimm,0.8,0,3525,5,
PUBG Corp. (a subsidiary of Bluehole),PUBG Corp.,0.5,0,6838,9,
Denny Doherty,Dennis Gerrard Stephen Doherty,0.3333333333333333,0,7220,9,
The Germs,The Go-Go's,0.5,0,6122,6,
,Philippe Coutinho Correia,0.0,0,19761,20,Planner call failed: APITimeoutError: Request timed out.
Moroni,Moroni,1.0,1,6564,9,
,no,0.0,0,25284,29,Maximum planner steps reached before final answer.
1981,1981,1.0,1,6305,9,
,Norman Jewison,0.0,0,12590,16,Planner call failed: APITimeoutError: Request timed out.
Lincolnshire Posy,Lincolnshire Posy,1.0,1,8698,10,
He Stopped Loving Her Today,He Stopped Loving Her Today,1.0,1,6399,9,
Andrzej Żuławski,Andrzej Żuławski,1.0,1,10436,11,
williamsworks,williamsworks,1.0,1,10004,9,
Queer as Folk,Queer as Folk,1.0,1,4149,5,
1954,1954,1.0,1,6281,9,
Magnesium ions,magnesium,0.6666666666666666,0,6116,6,
1969,1969,1.0,1,6460,9,
Iceland,Iceland,1.0,1,11193,13,
the Brothers Quay,Brothers Quay,0.8,0,11157,11,
American,American,1.0,1,6210,9,
1968,1968,1.0,1,6437,9,
Huaihua,Huaihua,1.0,1,6860,9,
,Harry Francis Craft,0.0,0,1394,2,Executor failed: APITimeoutError: Request timed out.
Key deer,Key deer,1.0,1,6807,9,
Billy Bob Thornton,"""Billy Bob"" Thornton",1.0,1,6385,9,
Peter Whitehead,Raymond Mays,0.0,0,9427,9,
,coloured lights,0.0,0,5893,6,Executor failed: APITimeoutError: Request timed out.
No,yes,0.0,0,7387,9,
,surgeon Major Frank Burns,0.0,0,31607,28,Maximum planner steps reached before final answer.
Denmark,Denmark,1.0,1,8293,10,
Triple Seven,"""Triple Seven""",1.0,1,8735,10,
Bralorne,Bralorne,1.0,1,3767,5,
United States Secretary of State,United States Secretary of State,1.0,1,6672,9,
genus,genus,1.0,1,3666,5,
Grammy Award for Best Hard Rock Performance,Grammy Award,0.4444444444444445,0,18933,19,
Wang Xiaoshuai,Del Lord,0.0,0,6248,9,
Serj Tankian,Serj Tankian,1.0,1,3686,5,
,a Vice documentary,0.0,0,25563,19,Planner call failed: APITimeoutError: Request timed out.
Shayaa Bin Abraham-Joseph,Shayaa Bin Abraham-Joseph,1.0,1,9814,13,
,Kosači,0.0,0,50572,39,Maximum planner steps reached before final answer.
Frida,Frida,1.0,1,6439,9,
1400 miles,1400 mi,0.5,0,6631,9,
Joël Robuchon,Joël Robuchon,1.0,1,9995,11,
Bacoli,Bacoli,1.0,1,7611,10,
,yes,0.0,0,50938,40,Maximum planner steps reached before final answer.
Yes,yes,1.0,1,6508,9,
"""The Ugliest Pilgrim""",The Ugliest Pilgrim,1.0,1,6650,9,
1986,in 1986,0.6666666666666666,0,8821,10,
Dayton's department store,Target Corporation,0.0,0,7500,9,
,High Plains,0.0,0,46418,35,Maximum planner steps reached before final answer.
"approximately 45,000","45,000",0.6666666666666666,0,34822,35,
Slade,Slade,1.0,1,5575,5,
Magazines,magazine,0.0,0,6471,9,
Miss Universe,Miss Universe,1.0,1,17293,15,
Clarissa Eden,Anne Clarissa Eden,0.8,0,6792,9,
Žalgiris Kaunas,Žalgiris Kaunas.,1.0,1,8221,9,
singing training,software for singing training,0.6666666666666666,0,7221,7,
Metallica,Metallica,1.0,1,6494,9,
Yes,yes,1.0,1,6212,9,
Peter Garrett,Peter Robert Garrett,0.8,0,10538,11,
six weeks,six-week television series,0.0,0,21019,18,
No,no,1.0,1,4709,5,
Blankman,producer,0.0,0,36080,29,
The Classic Crime,The Classic Crime,1.0,1,8129,9,
Steven Tyler,Steven Tyler,1.0,1,6514,9,
5.5 million,5.5 million,1.0,1,7420,9,
Jens Lehmann,Jens Lehmann,1.0,1,9540,9,
Will Traynor,Will Traynor,1.0,1,3800,5,
Abigail Breslin,Abigail Breslin,1.0,1,16405,17,
4th,fifth,0.0,0,21074,16,
PEC Zwolle,Zwolle,0.6666666666666666,0,3656,5,
Connie Murphy,Connie Murphy,1.0,1,10811,10,
Make,Make,1.0,1,3922,5,
Robert Palmer had Top 10 songs in both the UK and the US,eclectic mix of musical styles,0.0,0,11426,10,
Yahi,the Yahi tribe,0.5,0,3824,5,
Operation Nordwind,Operation North Wind,0.4,0,6482,9,
Serge Haroche,Serge Haroche,1.0,1,3947,5,
the Melvins,The Melvins,1.0,1,6338,9,
Sir Andrew Aguecheek,Aguecheek,0.5,0,4319,5,
No,yes,0.0,0,7728,9,
Yes,yes,1.0,1,6336,9,
"No, the University of West Florida is American, but FH Joanneum is Austrian.",no,0.14285714285714288,0,6946,9,
Polka,Polka,1.0,1,8435,6,
Bob Stoops,Bob Stoops,1.0,1,11585,11,
Marmaduke,Marmaduke,1.0,1,7699,10,
John Tardy,John Tardy,1.0,1,6107,9,
Lil' Mo,Cynthia Karen Loving,0.0,0,7153,9,
"Prince of Bismarck, Duke of Lauenburg","Prince of Bismarck, Duke of Lauenburg",1.0,1,7760,9,
Melbourne,Melbourne,1.0,1,9598,13,
Jungle Jim,Jungle Jim,1.0,1,6344,9,
"Theater at Madison Square Garden in New York City, New York",Theater at Madison Square Garden,0.625,0,6508,9,
Slovenian,Slovenian,1.0,1,6588,9,
I Knew You Were Trouble,I Knew You Were Trouble,1.0,1,6803,9,
"Teatro dei Fiorentini, Naples",Teatro dei Fiorentini,0.8571428571428571,0,12539,14,
"September 26, 1984","September 26, 1984",1.0,1,7375,9,
,2015,0.0,0,22330,13,Executor failed: APITimeoutError: Request timed out.
David Connell,David Connell,1.0,1,7641,9,
,It performed disappointingly,0.0,0,39407,30,Planner call failed: APITimeoutError: Request timed out.
,The Jungle Book,0.0,0,42166,32,Maximum planner steps reached before final answer.
Yevgeny Kafelnikov,Yevgeny Aleksandrovich Kafelnikov,0.8,0,6587,9,
"HMS Queen Elizabeth, HMS Warspite, HMS Barham, HMS Valiant, HMS Malaya","Queen Elizabeth""-class battleships",0.14285714285714288,0,18586,16,
Weimar at the Grossherzogliches (Grand Ducal) Theater,Grossherzogliches (Grand Ducal) Theater,0.7272727272727273,0,4865,6,
1900,1900,1.0,1,11012,13,
1980s,developed by Ivasim in 1980s,0.33333333333333337,0,6477,9,
NBC,NBC's Discovery Kids,0.0,0,7511,10,
United Kingdom,United Kingdom,1.0,1,3369,5,
"Arthur Charles Valerian Wellesley, 9th Duke of Wellington",Duke of Wellington,0.5454545454545454,0,9107,10,
The Game Plan,The Game Plan,1.0,1,6436,9,
,Twin Peaks,0.0,0,7818,8,Planner call failed: APITimeoutError: Request timed out.
Tennis,tennis player,0.6666666666666666,0,6450,9,
3,three-door,0.0,0,7103,9,
Ortigas Center,Ortigas Center,1.0,1,10707,9,
"May 16, 1946","May 16, 1946",1.0,1,6449,9,
Chris Anderson,Chris Anderson,1.0,1,5969,9,
No,no,1.0,1,8168,10,
,from 1956 to 1996,0.0,0,49363,37,Maximum planner steps reached before final answer.
,Aloe,0.0,0,25298,29,Maximum planner steps reached before final answer.
1787,1787,1.0,1,6615,9,
Reginald Denny,Reginald Denny,1.0,1,6538,9,
Bajo de la Carpa Formation,Portezuelo Formation,0.28571428571428575,0,6994,5,
Europe,Europe,1.0,1,3405,5,
"Salford, Greater Manchester",Greater Manchester,0.8,0,6545,9,
Grade school and high school,a grade school and high school,0.9090909090909091,0,10349,13,
Alberto Zaccheroni,Alberto Zaccheroni,1.0,1,15535,14,
London Stock Exchange,the London Stock Exchange,0.8571428571428571,0,6301,9,
Dick Van Patten,Dick Van Patten,1.0,1,6891,9,
The chemical elements,all the chemical elements,0.8571428571428571,0,3877,5,
Melbourne,Melbourne,1.0,1,3807,5,
,American,0.0,0,3307,4,Planner call failed: APITimeoutError: Request timed out.
1973,1973,1.0,1,6770,9,
Alexandra Feodorovna,Alexandra Feodorovna,1.0,1,5789,5,
Las Vegas,"Las Vegas, Nevada",0.8,0,3430,5,
,Cafaro Company,0.0,0,44313,36,Planner call failed: APITimeoutError: Request timed out.
A-Gon and Titán,A-Gon,0.5,0,7914,10,
New Jersey,New Jersey,1.0,1,8253,10,
23 June 2013,23 June 2013.,1.0,1,6742,9,
Dean Koontz,Dean Ray Koontz,0.8,0,6569,9,
Stephen King,Stephen King,1.0,1,5355,6,
,born in Africa or are of African descent,0.0,0,2894,4,Planner call failed: APITimeoutError: Request timed out.
Cheers (Drink to That),"""Cheers (Drink to That)""",1.0,1,3412,5,
Abbasid dynasty,Tahirid dynasty,0.5,0,6572,6,
The Royal Exchange Theatre and the Royal Exchange Shopping Centre,the Royal Exchange Theatre and the Royal Exchange Shopping Centre.,1.0,1,6175,9,
No,no,1.0,1,6657,9,
No,no,1.0,1,6457,9,
Sheldon Silver,Sheldon Silver,1.0,1,9617,13,
Moscow Satyricon Theatre,Moscow Satyricon Theatre,1.0,1,9976,13,
,over 80,0.0,0,24719,29,Maximum planner steps reached before final answer.
,no,0.0,0,1310,2,Executor failed: APITimeoutError: Request timed out.
,Ruth Madoff,0.0,0,727,1,Planner call failed: APITimeoutError: Request timed out.
1809,1809,1.0,1,6297,9,
Australia,Australia,1.0,1,6747,9,
Peter Auty,Peter Auty,1.0,1,8294,9,
Freedomland U.S.A. was located in Baychester,formerly home to the amusement park,0.0,0,4509,5,
Texas country music,Texas country music,1.0,1,3456,5,
Donald Duck,Donald Duck,1.0,1,6396,9,
"Richard Fisk is a criminal character, originally a villain and later an antihero.",originally a villain,0.375,0,11732,14,
Film director,director,0.6666666666666666,0,7972,9,
1868 to 1914,1868 to 1914,1.0,1,6381,9,
,Alexander Chilton,0.0,0,7815,9,Planner call failed: APITimeoutError: Request timed out.
,his father Joshua,0.0,0,25101,23,Planner call failed: APITimeoutError: Request timed out.
Kevin Wilson,Kevin Reece Wilson,0.8,0,25800,20,
Selena Gomez,Selena Gomez,1.0,1,6819,9,
Arizona,Arizona,1.0,1,6655,9,
Lost Frequencies,Lost Frequencies,1.0,1,7216,9,
PepsiCo,the Pepsi-Cola company,0.0,0,6341,9,
5 days per decade,5 days per decade,1.0,1,6627,9,
Nearly 11 million passengers per year,Nearly 11 million,0.6666666666666666,0,7374,10,
No,no,1.0,1,6452,9,
diabetes,diabetes,1.0,1,6729,9,
Comic Court,Comic Court,1.0,1,6590,6,
The I'Anson Baronetcy of Bassetbury,The I'Anson Baronetcy of Bassetbury,1.0,1,11638,7,
Manhattan Project,the Manhattan Project,0.8,0,7363,9,
No,yes,0.0,0,8712,10,
Maytenus,Maytenus,1.0,1,6964,9,
Lüliang,Lüliang,1.0,1,6558,9,
No,no,1.0,1,4093,5,
"Rufus Sewell, Mark Strong, and Henry Cavill",Kevin,0.0,0,4000,5,
,monthly,0.0,0,27679,30,Maximum planner steps reached before final answer.
Chuck Daly,Chuck Daly,1.0,1,4977,5,
Béla Bartók,Béla Viktor János Bartók,0.6666666666666666,0,6522,9,
Yes,yes,1.0,1,28401,26,
2000,2000,1.0,1,8484,10,
Bayern Munich,Bayern Munich,1.0,1,7482,10,
Lari White,Lari Michele White,0.8,0,8226,9,
D.O.,D.O.,1.0,1,7067,9,
National Artist of the USSR,National Artist of the USSR,1.0,1,10116,11,
Universal Pictures,Universal Pictures,1.0,1,9813,11,
Eric O'Neill,Robert Philip Hanssen,0.0,0,16688,14,
Jacobus Arminius,Jacobus Arminius,1.0,1,24866,20,
No,no,1.0,1,5779,6,
Beverly Hills,Beverly Hills,1.0,1,6786,9,
Debra Lehrmann,Judge Debra Lehrmann,0.8,0,40985,29,
,J. R. R. Tolkien,0.0,0,3476,4,Planner call failed: APITimeoutError: Request timed out.
Bulbophyllum,Bulbophyllum,1.0,1,6635,9,
University of Georgia and Yale University,University of Georgia and Yale University,1.0,1,6617,9,
1967,1967,1.0,1,8065,10,
defensive end,defensive end,1.0,1,3366,5,
1982,1982,1.0,1,19220,22,
well over one-half,over one-half of the land area,0.4444444444444444,0,23050,22,
Korean War,Korean War,1.0,1,7600,9,
Stratford-upon-Avon,the town of Stratford-upon-Avon,0.4,0,8135,10,
,the island of Great Britain,0.0,0,24337,22,Planner call failed: APITimeoutError: Request timed out.
"Bill Paxton, Billy Bob Thornton, and Bridget Fonda","Bill Paxton, Billy Bob Thornton and Bridget Fonda",1.0,1,3860,5,
Paul Allen,Paul Allen,1.0,1,3438,5,
No,no,1.0,1,6803,9,
July 23 Revolution,July 23 revolution,1.0,1,4319,5,
Elliptical,An elliptical galaxy,0.5,0,5288,5,
Allan,Heywood,0.0,0,6450,9,
,Rigveda Wiki,0.0,0,32782,23,Planner call failed: APITimeoutError: Request timed out.
,Elizabeth,0.0,0,35067,31,Maximum planner steps reached before final answer.
,Memories of Murder,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
Florida Atlantic,Florida Atlantic,1.0,1,6628,9,
,Amsterdam Airport Schiphol,0.0,0,37117,32,Maximum planner steps reached before final answer.
Pink Gin,Pink Gin,1.0,1,9310,10,
American Civil War,American Civil War,1.0,1,3776,5,
The Operation M.D.,The Operation M.D.,1.0,1,7527,10,
Now Is Good,Now Is Good,1.0,1,6986,9,
Conor Cruise O'Brien,an Irish politician,0.0,0,4365,5,
documentary films,documentary film,0.5,0,7527,9,
Yes,the third largest city in the country,0.0,0,6415,9,
1957,1957,1.0,1,6112,9,
Jeremy Hunt,Jeremy Richard Streynsham Hunt,0.6666666666666666,0,6172,9,
Leicester City,Leicester City Football Club,0.6666666666666666,0,9402,10,
Vince Lombardi Trophy,Super Bowl ring,0.0,0,7962,9,
Yes,yes,1.0,1,6337,9,
Yes,yes,1.0,1,6386,9,
Royal Academy of Dramatic Art in London,London at the Royal Academy of Dramatic Art,0.7999999999999999,0,7839,10,
,Kansas,0.0,0,41044,35,Maximum planner steps reached before final answer.
Wilderness Road,The Wilderness Road,0.8,0,10868,9,
1983,1983,1.0,1,6134,9,
Four,Four,1.0,1,11469,10,
"Copenhagen and Herning, Denmark",The 2018 IIHF World Championship,0.0,0,8608,10,
JWoww,"Jenni ""JWoww"" Farley",0.5,0,7426,9,
Praise be to you,Praise be to you,1.0,1,11571,10,
Navy,Navy,1.0,1,6474,9,
Bob Edwards,Bob Edwards,1.0,1,5104,5,
Canary Islands,"Canary Islands, Spain",0.8,0,6621,9,
,The Norwegian Buhund,0.0,0,23961,24,Planner call failed: APITimeoutError: Request timed out.
Alexander III,Emperor Alexander III,0.8,0,3705,5,
Yellow Loveless,Yellow Loveless,1.0,1,11101,14,
Raja Gosnell,Chris Columbus,0.0,0,6555,9,
"June 21, 2016","June 21, 2016",1.0,1,6384,9,
1810,1810,1.0,1,7890,9,
Michael Grant,Michael Grant,1.0,1,6405,9,
"March 28, 2014","March 28, 2014",1.0,1,7597,10,
Las Vegas,Paradise and Winchester,0.0,0,3761,5,
Yes,yes,1.0,1,6402,9,
,classical,0.0,0,2526,2,Executor failed: APITimeoutError: Request timed out.
English,English,1.0,1,6357,9,
Rotting Christ is the band that released the album Aealo.,Greek extreme metal band,0.14285714285714288,0,3611,5,
Brendan O'Brien,Brendan O'Brien,1.0,1,6404,9,
Charles Gounod,Charles-François Gounod,0.5,0,8433,9,
Cheltenham & Gloucester Building Society,Cheltenham & Gloucester,0.6666666666666666,0,4326,5,
Prince William,Prince William,1.0,1,11402,11,
General Manager,General Manager,1.0,1,9337,11,
,Polly Jean Harvey,0.0,0,17967,19,Executor failed: APITimeoutError: Request timed out.
Monthly,monthly,1.0,1,12315,14,
25 January 1890,25 January 1890,1.0,1,6244,9,
Marcy Playground,Marcy Playground,1.0,1,44301,35,
,Robert Stevenson,0.0,0,21925,26,Maximum planner steps reached before final answer.
The Red Ribbon School,the Red Ribbon,0.8571428571428571,0,14357,14,
"6,735","6,735",1.0,1,6395,9,
Las Vegas Valley,Las Vegas Valley,1.0,1,3750,5,
Japanese,Japanese,1.0,1,6912,9,
She was listed as the highest paid child actress.,highest paid child actress,0.6153846153846153,0,6754,9,
Woman's Viewpoint,Woman's Viewpoint,1.0,1,6312,9,
Benjamin Wills Newton,Benjamin Wills Newton,1.0,1,8792,10,
Video games,video games,1.0,1,5920,5,
"Alicia Keys, John Legend, Christina Aguilera, Jennifer Hudson, and Mary J. Blige",Solange,0.0,0,6442,5,
Néstor Kirchner,Néstor Kirchner,1.0,1,5667,6,
Chinese Crested Dog,Chinese Crested Dog,1.0,1,4316,5,
No,no,1.0,1,5488,6,
the United States,Henry Beebee Carrington,0.0,0,7088,7,
Virginia Ruano Pascual,Virginia Ruano Pascual,1.0,1,3589,5,
Red Hot Chili Peppers,Red Hot Chili Peppers,1.0,1,3649,5,
English,English,1.0,1,6448,9,
Head coach and athletics director,athletics director,0.5714285714285715,0,7996,9,
1727,1727,1.0,1,6491,9,
"211 Central Park West, New York City",211 Central Park West,0.7272727272727273,0,8640,7,
No,no,1.0,1,4096,5,
Trey Parker and Matt Stone,Trey Parker and Matt Stone,1.0,1,6811,9,
Lombardy,"Lombardy, northern Italy",0.5,0,6138,9,
Justin Chancellor,Justin Chancellor,1.0,1,3398,5,
Higbee's,Higbee's,1.0,1,7383,9,
Donald Trump,Donald Trump,1.0,1,9018,9,
Hong Kong Stock Exchange,The Stock Exchange of Hong Kong Limited,0.7272727272727273,0,6889,9,
Alexandre Aja,Alexandre Aja,1.0,1,8005,10,
Australia,"New South Wales, Australia",0.4,0,3456,5,
1651,in 1651,0.6666666666666666,0,12419,9,
1914,1914,1.0,1,3544,5,
,Asa Candler,0.0,0,13439,14,Planner call failed: APITimeoutError: Request timed out.
Yes,yes,1.0,1,6398,9,
Alex Garland,Alex Garland,1.0,1,3563,5,
Landscape with Obelisk,Landscape with Obelisk is painting by Dutch artist Govert Flinck,0.4615384615384615,0,8977,6,
Labatt Open,Labatt Brewing Company,0.4,0,11181,14,
"Norway, Sweden, Finland, Denmark, Iceland, and the Faroe Islands.","Norway, Sweden, Finland, Denmark, Iceland and the Faroe Islands",1.0,1,6848,9,
New Holland,New Holland,1.0,1,4438,6,
Peter Rufai,Peter Rufai,1.0,1,8042,10,
Peter Rees,Peter Rees,1.0,1,7685,9,
1856,1856,1.0,1,6533,9,
Ogunquit,Ogunquit,1.0,1,8326,9,
10 August 1397,10 August 139727,0.6666666666666666,0,8545,9,
The section around the crossing of the River Ribble,The section around the crossing of the River Ribble,1.0,1,8031,10,
"Elmhurst, Illinois","Elmhurst, Illinois",1.0,1,7569,9,
Free Wired,Free Wired,1.0,1,6700,9,
Changchun,Changchun,1.0,1,7351,9,
Sam Bradford,Samuel Jacob Bradford,0.4,0,9426,9,
Brenda VanLengen,Brenda VanLengen,1.0,1,11885,12,
No,no,1.0,1,4971,5,
"Lt. Robin Crusoe, U.S.N.",Lt. Robin Crusoe USN,1.0,1,8774,10,
"2,956","2,956",1.0,1,6774,9,
"Thomas Howard, 21st Earl of Arundel","Thomas Howard, 21st Earl of Arundel",1.0,1,23394,15,
Assata Shakur,Assata Shakur,1.0,1,3707,5,
Basque pelota,Basque pelota,1.0,1,6539,9,
Radio,radio,1.0,1,9989,10,
Cleveland,Cleveland,1.0,1,6993,9,
Betty Lynn,Betty Lynn,1.0,1,13326,15,
Steven Gould,Steven Gould,1.0,1,8143,10,
Lisbon,Lisbon,1.0,1,6296,9,
Michigan,Michigan,1.0,1,6554,9,
Aurangabad,Aurangabad,1.0,1,10520,13,
9,nine,0.0,0,6914,9,
"No, Isaac Asimov wrote science fiction set in the future, while Jean Giono wrote fiction set in the Provence region of France.",no,0.08695652173913045,0,16821,14,
Jean-Pierre Jeunet and Marc Caro,Jean-Pierre Jeunet and Marc,0.888888888888889,0,6242,9,
Yes,yes,1.0,1,22704,21,
,2048: No Escape or 2048: Nowhere to Escape,0.0,0,10899,9,Planner call failed: APITimeoutError: Request timed out.
John Hager,John Hager,1.0,1,10458,13,
,from 1971–74,0.0,0,5732,2,Executor failed: APITimeoutError: Request timed out.
No,no,1.0,1,6933,9,
,sixth,0.0,0,33521,29,Planner call failed: APITimeoutError: Request timed out.
Bradley Cooper,Bradley Charles Cooper,0.8,0,13253,13,
Deutschlandlied,Deutschlandlied,1.0,1,5359,5,
,"""Starman"" and ""Robin""",0.0,0,3726,4,Planner call failed: APITimeoutError: Request timed out.
,Panzerkampfwagen VIII Maus,0.0,0,4317,6,Executor failed: APITimeoutError: Request timed out.
10 years,ten years,0.5,0,12007,15,
Dickran Tevrizian,Dickran M. Tevrizian Jr.,0.6666666666666666,0,6265,9,
Mary Patterson,Mary Patterson,1.0,1,30857,28,
,Second Revolt of Judea,0.0,0,4688,5,Planner call failed: APIConnectionError: Connection error.
,the United Kingdom,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,Margaret Court Arena,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,Nick Carter,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,1926,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,Gangnam district,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,University of Oklahoma,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
,The Genesis Flood: The Biblical Record and its Scientific Implications,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
362 km,362 km,1.0,1,6162,9,
No,no,1.0,1,6224,9,
Reality television,reality television,1.0,1,6358,9,
1850,1850,1.0,1,13101,15,
Australia,South America,0.0,0,9957,11,
Bryan Beller,Bryan Beller,1.0,1,9865,11,
Battle of Monmouth,Battle of Monmouth,1.0,1,5174,6,
,Neil Abercrombie,0.0,0,4747,4,Planner call failed: APITimeoutError: Request timed out.
Yes,yes,1.0,1,6155,9,
Midfielder,midfielder,1.0,1,6421,9,
Benin,Benin,1.0,1,3384,5,
Yes,yes,1.0,1,6296,9,
Levi's Stadium,Levi's Stadium,1.0,1,10384,13,
21 Demands,21 Demands,1.0,1,9860,11,
China,China,1.0,1,6124,9,
Julio Saraceni,Julio Saraceni,1.0,1,13338,14,
"Upton, New York","Upton, New York",1.0,1,6948,9,
Daytona Beach,"Daytona Beach, Florida",0.8,0,4670,5,
Gay sex,"gay sex, and the gay bear subculture",0.4444444444444445,0,8653,10,
American,American,1.0,1,6576,9,
Statesboro,"Statesboro, Georgia",0.6666666666666666,0,3444,5,
